date,Gartenplaner,isPartial
2018-01-07,19,False
2018-01-14,55,False
2018-01-21,74,False
2018-01-28,25,False
2018-02-04,32,False
2018-02-11,56,False
2018-02-18,37,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,49,False
2018-03-18,31,False
2018-03-25,66,False
2018-04-01,69,False
2018-04-08,33,False
2018-04-15,27,False
2018-04-22,26,False
2018-04-29,27,False
2018-05-06,14,False
2018-05-13,45,False
2018-05-20,27,False
2018-05-27,27,False
2018-06-03,13,False
2018-06-10,38,False
2018-06-17,25,False
2018-06-24,50,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,21,False
2018-08-19,46,False
2018-08-26,32,False
2018-09-02,19,False
2018-09-09,13,False
2018-09-16,13,False
2018-09-23,13,False
2018-09-30,13,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,13,False
2018-11-04,0,False
2018-11-11,13,False
2018-11-18,12,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,12,False
2018-12-16,13,False
2018-12-23,15,False
2018-12-30,0,False
2019-01-06,12,False
2019-01-13,0,False
2019-01-20,12,False
2019-01-27,18,False
2019-02-03,12,False
2019-02-10,18,False
2019-02-17,71,False
2019-02-24,24,False
2019-03-03,65,False
2019-03-10,52,False
2019-03-17,49,False
2019-03-24,42,False
2019-03-31,25,False
2019-04-07,49,False
2019-04-14,53,False
2019-04-21,58,False
2019-04-28,31,False
2019-05-05,12,False
2019-05-12,48,False
2019-05-19,18,False
2019-05-26,12,False
2019-06-02,12,False
2019-06-09,19,False
2019-06-16,37,False
2019-06-23,13,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,13,False
2019-07-21,20,False
2019-07-28,13,False
2019-08-04,0,False
2019-08-11,32,False
2019-08-18,31,False
2019-08-25,18,False
2019-09-01,12,False
2019-09-08,12,False
2019-09-15,24,False
2019-09-22,12,False
2019-09-29,23,False
2019-10-06,12,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,12,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,22,False
2019-12-01,11,False
2019-12-08,34,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,22,False
2020-01-12,10,False
2020-01-19,16,False
2020-01-26,31,False
2020-02-02,10,False
2020-02-09,21,False
2020-02-16,47,False
2020-02-23,35,False
2020-03-01,51,False
2020-03-08,29,False
2020-03-15,30,False
2020-03-22,34,False
2020-03-29,39,False
2020-04-05,54,False
2020-04-12,47,False
2020-04-19,45,False
2020-04-26,50,False
2020-05-03,21,False
2020-05-10,46,False
2020-05-17,100,False
2020-05-24,26,False
2020-05-31,42,False
2020-06-07,31,False
2020-06-14,30,False
2020-06-21,16,False
2020-06-28,26,False
2020-07-05,38,False
