date,piscine couverte,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,0,False
2018-02-04,58,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,41,False
2018-03-11,46,False
2018-03-18,92,False
2018-03-25,94,False
2018-04-01,31,False
2018-04-08,33,False
2018-04-15,34,False
2018-04-22,33,False
2018-04-29,50,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,0,False
2018-06-10,61,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,33,False
2018-07-15,36,False
2018-07-22,53,False
2018-07-29,35,False
2018-08-05,72,False
2018-08-12,37,False
2018-08-19,35,False
2018-08-26,100,False
2018-09-02,0,False
2018-09-09,66,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,69,False
2018-12-30,0,False
2019-01-06,62,False
2019-01-13,31,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,33,False
2019-02-17,33,False
2019-02-24,63,False
2019-03-03,0,False
2019-03-10,31,False
2019-03-17,33,False
2019-03-24,32,False
2019-03-31,43,False
2019-04-07,54,False
2019-04-14,33,False
2019-04-21,31,False
2019-04-28,45,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,59,False
2019-06-09,30,False
2019-06-16,32,False
2019-06-23,47,False
2019-06-30,0,False
2019-07-07,48,False
2019-07-14,33,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,72,False
2019-08-11,35,False
2019-08-18,34,False
2019-08-25,62,False
2019-09-01,45,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,29,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,42,False
2019-12-08,55,False
2019-12-15,41,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,27,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,44,False
2020-02-09,26,False
2020-02-16,54,False
2020-02-23,26,False
2020-03-01,25,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,23,False
2020-04-19,23,False
2020-04-26,21,False
2020-05-03,21,False
2020-05-10,23,False
2020-05-17,0,False
2020-05-24,24,False
2020-05-31,46,False
2020-06-07,0,False
2020-06-14,37,False
2020-06-21,0,True
