date,piscine couverte,isPartial
2018-01-07,25,False
2018-01-14,0,False
2018-01-21,37,False
2018-01-28,26,False
2018-02-04,25,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,38,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,53,False
2018-04-08,27,False
2018-04-15,28,False
2018-04-22,45,False
2018-04-29,41,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,26,False
2018-05-27,26,False
2018-06-03,27,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,65,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,57,False
2018-08-05,29,False
2018-08-12,30,False
2018-08-19,43,False
2018-08-26,27,False
2018-09-02,28,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,41,False
2018-10-07,28,False
2018-10-14,28,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,36,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,26,False
2019-01-20,50,False
2019-01-27,25,False
2019-02-03,38,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,52,False
2019-03-03,50,False
2019-03-10,51,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,27,False
2019-04-07,36,False
2019-04-14,28,False
2019-04-21,26,False
2019-04-28,100,False
2019-05-05,25,False
2019-05-12,0,False
2019-05-19,26,False
2019-05-26,43,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,26,False
2019-06-23,27,False
2019-06-30,0,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,29,False
2019-07-28,57,False
2019-08-04,48,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,27,False
2019-09-01,51,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,48,False
2019-10-20,0,False
2019-10-27,35,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,35,False
2020-01-05,45,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,33,False
2020-02-02,0,False
2020-02-09,22,False
2020-02-16,37,False
2020-02-23,32,False
2020-03-01,21,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,17,False
2020-05-03,0,False
2020-05-10,19,False
2020-05-17,20,False
2020-05-24,19,False
2020-05-31,19,False
2020-06-07,19,False
2020-06-14,40,False
2020-06-21,0,True
