date,piscine couverte,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,67,False
2018-02-04,32,False
2018-02-11,43,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,42,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,44,False
2018-04-01,67,False
2018-04-08,41,False
2018-04-15,88,False
2018-04-22,84,False
2018-04-29,52,False
2018-05-06,48,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,65,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,52,False
2018-07-22,51,False
2018-07-29,30,False
2018-08-05,57,False
2018-08-12,29,False
2018-08-19,46,False
2018-08-26,31,False
2018-09-02,32,False
2018-09-09,33,False
2018-09-16,33,False
2018-09-23,56,False
2018-09-30,100,False
2018-10-07,66,False
2018-10-14,0,False
2018-10-21,35,False
2018-10-28,83,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,60,False
2018-12-30,36,False
2019-01-06,34,False
2019-01-13,34,False
2019-01-20,33,False
2019-01-27,32,False
2019-02-03,33,False
2019-02-10,45,False
2019-02-17,0,False
2019-02-24,35,False
2019-03-03,35,False
2019-03-10,35,False
2019-03-17,35,False
2019-03-24,35,False
2019-03-31,98,False
2019-04-07,99,False
2019-04-14,80,False
2019-04-21,86,False
2019-04-28,34,False
2019-05-05,64,False
2019-05-12,96,False
2019-05-19,32,False
2019-05-26,32,False
2019-06-02,46,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,62,False
2019-07-07,30,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,28,False
2019-08-04,55,False
2019-08-11,0,False
2019-08-18,38,False
2019-08-25,25,False
2019-09-01,59,False
2019-09-08,44,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,61,False
2019-10-13,45,False
2019-10-20,88,False
2019-10-27,29,False
2019-11-03,59,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,0,False
2019-12-08,39,False
2019-12-15,0,False
2019-12-22,33,False
2019-12-29,32,False
2020-01-05,29,False
2020-01-12,42,False
2020-01-19,55,False
2020-01-26,29,False
2020-02-02,72,False
2020-02-09,44,False
2020-02-16,29,False
2020-02-23,40,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,69,False
2020-05-17,39,False
2020-05-24,0,False
2020-05-31,24,False
2020-06-07,24,False
2020-06-14,50,False
2020-06-21,0,True
