date,Marmorkies,isPartial
2018-01-07,14,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,14,False
2018-02-04,15,False
2018-02-11,14,False
2018-02-18,15,False
2018-02-25,19,False
2018-03-04,43,False
2018-03-11,38,False
2018-03-18,19,False
2018-03-25,31,False
2018-04-01,82,False
2018-04-08,69,False
2018-04-15,51,False
2018-04-22,58,False
2018-04-29,86,False
2018-05-06,51,False
2018-05-13,43,False
2018-05-20,46,False
2018-05-27,40,False
2018-06-03,63,False
2018-06-10,28,False
2018-06-17,38,False
2018-06-24,49,False
2018-07-01,48,False
2018-07-08,53,False
2018-07-15,55,False
2018-07-22,30,False
2018-07-29,30,False
2018-08-05,35,False
2018-08-12,30,False
2018-08-19,35,False
2018-08-26,35,False
2018-09-02,44,False
2018-09-09,44,False
2018-09-16,19,False
2018-09-23,39,False
2018-09-30,22,False
2018-10-07,29,False
2018-10-14,58,False
2018-10-21,21,False
2018-10-28,0,False
2018-11-04,14,False
2018-11-11,21,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,22,False
2018-12-23,25,False
2018-12-30,15,False
2019-01-06,27,False
2019-01-13,22,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,13,False
2019-02-10,23,False
2019-02-17,14,False
2019-02-24,21,False
2019-03-03,47,False
2019-03-10,40,False
2019-03-17,65,False
2019-03-24,65,False
2019-03-31,89,False
2019-04-07,68,False
2019-04-14,55,False
2019-04-21,49,False
2019-04-28,55,False
2019-05-05,54,False
2019-05-12,60,False
2019-05-19,54,False
2019-05-26,38,False
2019-06-02,68,False
2019-06-09,33,False
2019-06-16,56,False
2019-06-23,47,False
2019-06-30,32,False
2019-07-07,32,False
2019-07-14,38,False
2019-07-21,15,False
2019-07-28,44,False
2019-08-04,29,False
2019-08-11,42,False
2019-08-18,52,False
2019-08-25,32,False
2019-09-01,14,False
2019-09-08,28,False
2019-09-15,28,False
2019-09-22,27,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,13,False
2019-10-20,13,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,13,False
2019-11-24,13,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,13,False
2019-12-22,30,False
2019-12-29,14,False
2020-01-05,0,False
2020-01-12,23,False
2020-01-19,16,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,18,False
2020-02-16,25,False
2020-02-23,20,False
2020-03-01,0,False
2020-03-08,26,False
2020-03-15,29,False
2020-03-22,54,False
2020-03-29,51,False
2020-04-05,100,False
2020-04-12,61,False
2020-04-19,78,False
2020-04-26,87,False
2020-05-03,70,False
2020-05-10,41,False
