date,piscine en bois,isPartial
2018-01-07,0,False
2018-01-14,45,False
2018-01-21,15,False
2018-01-28,15,False
2018-02-04,15,False
2018-02-11,15,False
2018-02-18,16,False
2018-02-25,16,False
2018-03-04,24,False
2018-03-11,23,False
2018-03-18,21,False
2018-03-25,16,False
2018-04-01,23,False
2018-04-08,21,False
2018-04-15,16,False
2018-04-22,26,False
2018-04-29,38,False
2018-05-06,45,False
2018-05-13,16,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,23,False
2018-06-10,22,False
2018-06-17,32,False
2018-06-24,47,False
2018-07-01,25,False
2018-07-08,21,False
2018-07-15,67,False
2018-07-22,33,False
2018-07-29,22,False
2018-08-05,26,False
2018-08-12,29,False
2018-08-19,17,False
2018-08-26,21,False
2018-09-02,24,False
2018-09-09,16,False
2018-09-16,16,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,25,False
2018-10-21,17,False
2018-10-28,32,False
2018-11-04,31,False
2018-11-11,15,False
2018-11-18,0,False
2018-11-25,14,False
2018-12-02,15,False
2018-12-09,30,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,16,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,22,False
2019-02-03,0,False
2019-02-10,16,False
2019-02-17,24,False
2019-02-24,15,False
2019-03-03,14,False
2019-03-10,15,False
2019-03-17,0,False
2019-03-24,23,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,17,False
2019-04-21,23,False
2019-04-28,45,False
2019-05-05,15,False
2019-05-12,31,False
2019-05-19,16,False
2019-05-26,42,False
2019-06-02,19,False
2019-06-09,0,False
2019-06-16,31,False
2019-06-23,71,False
2019-06-30,61,False
2019-07-07,46,False
2019-07-14,42,False
2019-07-21,58,False
2019-07-28,32,False
2019-08-04,32,False
2019-08-11,26,False
2019-08-18,42,False
2019-08-25,40,False
2019-09-01,15,False
2019-09-08,0,False
2019-09-15,51,False
2019-09-22,14,False
2019-09-29,28,False
2019-10-06,14,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,14,False
2019-11-03,14,False
2019-11-10,14,False
2019-11-17,0,False
2019-11-24,26,False
2019-12-01,13,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,15,False
2019-12-29,15,False
2020-01-05,13,False
2020-01-12,13,False
2020-01-19,13,False
2020-01-26,13,False
2020-02-02,13,False
2020-02-09,13,False
2020-02-16,13,False
2020-02-23,31,False
2020-03-01,21,False
2020-03-08,13,False
2020-03-15,17,False
2020-03-22,21,False
2020-03-29,18,False
2020-04-05,54,False
2020-04-12,45,False
2020-04-19,51,False
2020-04-26,44,False
2020-05-03,44,False
2020-05-10,50,False
2020-05-17,100,False
2020-05-24,87,False
2020-05-31,73,False
2020-06-07,45,False
2020-06-14,27,False
2020-06-21,66,True
