date,piscine en bois,isPartial
2018-01-07,9,False
2018-01-14,9,False
2018-01-21,11,False
2018-01-28,9,False
2018-02-04,7,False
2018-02-11,8,False
2018-02-18,13,False
2018-02-25,8,False
2018-03-04,14,False
2018-03-11,16,False
2018-03-18,16,False
2018-03-25,17,False
2018-04-01,18,False
2018-04-08,19,False
2018-04-15,38,False
2018-04-22,30,False
2018-04-29,23,False
2018-05-06,33,False
2018-05-13,14,False
2018-05-20,32,False
2018-05-27,21,False
2018-06-03,25,False
2018-06-10,20,False
2018-06-17,29,False
2018-06-24,33,False
2018-07-01,48,False
2018-07-08,37,False
2018-07-15,32,False
2018-07-22,41,False
2018-07-29,44,False
2018-08-05,41,False
2018-08-12,31,False
2018-08-19,24,False
2018-08-26,17,False
2018-09-02,15,False
2018-09-09,13,False
2018-09-16,15,False
2018-09-23,8,False
2018-09-30,8,False
2018-10-07,7,False
2018-10-14,9,False
2018-10-21,6,False
2018-10-28,6,False
2018-11-04,7,False
2018-11-11,5,False
2018-11-18,8,False
2018-11-25,7,False
2018-12-02,6,False
2018-12-09,4,False
2018-12-16,4,False
2018-12-23,9,False
2018-12-30,4,False
2019-01-06,10,False
2019-01-13,9,False
2019-01-20,12,False
2019-01-27,7,False
2019-02-03,12,False
2019-02-10,14,False
2019-02-17,17,False
2019-02-24,21,False
2019-03-03,16,False
2019-03-10,14,False
2019-03-17,21,False
2019-03-24,20,False
2019-03-31,18,False
2019-04-07,20,False
2019-04-14,18,False
2019-04-21,21,False
2019-04-28,23,False
2019-05-05,19,False
2019-05-12,16,False
2019-05-19,19,False
2019-05-26,30,False
2019-06-02,38,False
2019-06-09,20,False
2019-06-16,38,False
2019-06-23,80,False
2019-06-30,60,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,42,False
2019-07-28,26,False
2019-08-04,27,False
2019-08-11,24,False
2019-08-18,22,False
2019-08-25,22,False
2019-09-01,9,False
2019-09-08,15,False
2019-09-15,13,False
2019-09-22,9,False
2019-09-29,7,False
2019-10-06,8,False
2019-10-13,7,False
2019-10-20,9,False
2019-10-27,11,False
2019-11-03,5,False
2019-11-10,4,False
2019-11-17,5,False
2019-11-24,8,False
2019-12-01,6,False
2019-12-08,7,False
2019-12-15,6,False
2019-12-22,7,False
2019-12-29,7,False
2020-01-05,9,False
2020-01-12,11,False
2020-01-19,9,False
2020-01-26,9,False
2020-02-02,13,False
2020-02-09,11,False
2020-02-16,15,False
2020-02-23,14,False
2020-03-01,15,False
2020-03-08,11,False
2020-03-15,13,False
2020-03-22,15,False
2020-03-29,23,False
2020-04-05,60,False
2020-04-12,63,False
2020-04-19,61,False
2020-04-26,54,False
2020-05-03,65,False
2020-05-10,49,False
2020-05-17,99,False
2020-05-24,100,False
2020-05-31,80,False
2020-06-07,41,False
2020-06-14,33,False
2020-06-21,65,True
