date,magasin costume,isPartial
2018-01-07,19,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,19,False
2018-02-04,19,False
2018-02-11,18,False
2018-02-18,18,False
2018-02-25,18,False
2018-03-04,0,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,29,False
2018-04-01,19,False
2018-04-08,18,False
2018-04-15,20,False
2018-04-22,20,False
2018-04-29,0,False
2018-05-06,56,False
2018-05-13,19,False
2018-05-20,0,False
2018-05-27,56,False
2018-06-03,19,False
2018-06-10,54,False
2018-06-17,38,False
2018-06-24,18,False
2018-07-01,28,False
2018-07-08,18,False
2018-07-15,37,False
2018-07-22,19,False
2018-07-29,0,False
2018-08-05,18,False
2018-08-12,18,False
2018-08-19,0,False
2018-08-26,19,False
2018-09-02,0,False
2018-09-09,38,False
2018-09-16,0,False
2018-09-23,39,False
2018-09-30,19,False
2018-10-07,19,False
2018-10-14,100,False
2018-10-21,21,False
2018-10-28,19,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,19,False
2018-11-25,20,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,21,False
2019-01-06,0,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,20,False
2019-02-17,20,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,19,False
2019-03-17,20,False
2019-03-24,29,False
2019-03-31,29,False
2019-04-07,39,False
2019-04-14,0,False
2019-04-21,18,False
2019-04-28,28,False
2019-05-05,19,False
2019-05-12,19,False
2019-05-19,18,False
2019-05-26,55,False
2019-06-02,26,False
2019-06-09,26,False
2019-06-16,35,False
2019-06-23,0,False
2019-06-30,18,False
2019-07-07,18,False
2019-07-14,18,False
2019-07-21,18,False
2019-07-28,27,False
2019-08-04,18,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,32,False
2019-09-01,17,False
2019-09-08,26,False
2019-09-15,35,False
2019-09-22,17,False
2019-09-29,17,False
2019-10-06,0,False
2019-10-13,17,False
2019-10-20,0,False
2019-10-27,52,False
2019-11-03,17,False
2019-11-10,34,False
2019-11-17,17,False
2019-11-24,33,False
2019-12-01,25,False
2019-12-08,0,False
2019-12-15,33,False
2019-12-22,38,False
2019-12-29,18,False
2020-01-05,33,False
2020-01-12,16,False
2020-01-19,16,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,24,False
2020-02-16,24,False
2020-02-23,15,False
2020-03-01,23,False
2020-03-08,15,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
