date,pasticcere,isPartial
2018-01-07,42,False
2018-01-14,50,False
2018-01-21,47,False
2018-01-28,48,False
2018-02-04,47,False
2018-02-11,59,False
2018-02-18,41,False
2018-02-25,48,False
2018-03-04,41,False
2018-03-11,25,False
2018-03-18,43,False
2018-03-25,18,False
2018-04-01,27,False
2018-04-08,33,False
2018-04-15,44,False
2018-04-22,54,False
2018-04-29,77,False
2018-05-06,51,False
2018-05-13,60,False
2018-05-20,95,False
2018-05-27,51,False
2018-06-03,43,False
2018-06-10,33,False
2018-06-17,18,False
2018-06-24,95,False
2018-07-01,37,False
2018-07-08,18,False
2018-07-15,38,False
2018-07-22,39,False
2018-07-29,51,False
2018-08-05,23,False
2018-08-12,25,False
2018-08-19,46,False
2018-08-26,20,False
2018-09-02,28,False
2018-09-09,55,False
2018-09-16,18,False
2018-09-23,46,False
2018-09-30,27,False
2018-10-07,37,False
2018-10-14,55,False
2018-10-21,18,False
2018-10-28,89,False
2018-11-04,84,False
2018-11-11,35,False
2018-11-18,83,False
2018-11-25,67,False
2018-12-02,52,False
2018-12-09,35,False
2018-12-16,55,False
2018-12-23,62,False
2018-12-30,66,False
2019-01-06,34,False
2019-01-13,33,False
2019-01-20,47,False
2019-01-27,47,False
2019-02-03,23,False
2019-02-10,39,False
2019-02-17,24,False
2019-02-24,74,False
2019-03-03,34,False
2019-03-10,58,False
2019-03-17,25,False
2019-03-24,33,False
2019-03-31,16,False
2019-04-07,48,False
2019-04-14,58,False
2019-04-21,18,False
2019-04-28,60,False
2019-05-05,16,False
2019-05-12,0,False
2019-05-19,48,False
2019-05-26,31,False
2019-06-02,32,False
2019-06-09,16,False
2019-06-16,25,False
2019-06-23,59,False
2019-06-30,25,False
2019-07-07,33,False
2019-07-14,0,False
2019-07-21,18,False
2019-07-28,37,False
2019-08-04,19,False
2019-08-11,43,False
2019-08-18,19,False
2019-08-25,43,False
2019-09-01,0,False
2019-09-08,40,False
2019-09-15,61,False
2019-09-22,24,False
2019-09-29,55,False
2019-10-06,32,False
2019-10-13,47,False
2019-10-20,37,False
2019-10-27,53,False
2019-11-03,52,False
2019-11-10,22,False
2019-11-17,66,False
2019-11-24,65,False
2019-12-01,53,False
2019-12-08,54,False
2019-12-15,76,False
2019-12-22,60,False
2019-12-29,100,False
2020-01-05,94,False
2020-01-12,55,False
2020-01-19,63,False
2020-01-26,48,False
2020-02-02,34,False
2020-02-09,78,False
2020-02-16,56,False
2020-02-23,26,False
2020-03-01,39,False
2020-03-08,25,False
2020-03-15,50,False
2020-03-22,71,False
2020-03-29,67,False
2020-04-05,19,False
2020-04-12,65,False
2020-04-19,74,False
2020-04-26,63,True
