date,pasticcere,isPartial
2018-01-07,25,False
2018-01-14,63,False
2018-01-21,0,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,34,False
2018-03-04,0,False
2018-03-11,95,False
2018-03-18,37,False
2018-03-25,24,False
2018-04-01,25,False
2018-04-08,47,False
2018-04-15,25,False
2018-04-22,25,False
2018-04-29,0,False
2018-05-06,59,False
2018-05-13,36,False
2018-05-20,0,False
2018-05-27,24,False
2018-06-03,47,False
2018-06-10,0,False
2018-06-17,24,False
2018-06-24,35,False
2018-07-01,46,False
2018-07-08,44,False
2018-07-15,0,False
2018-07-22,45,False
2018-07-29,23,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,45,False
2018-08-26,0,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,61,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,23,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,100,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,52,False
2018-12-23,87,False
2018-12-30,26,False
2019-01-06,25,False
2019-01-13,48,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,35,False
2019-02-17,48,False
2019-02-24,0,False
2019-03-03,23,False
2019-03-10,57,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,0,False
2019-04-21,21,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,22,False
2019-05-19,22,False
2019-05-26,21,False
2019-06-02,23,False
2019-06-09,43,False
2019-06-16,22,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,21,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,21,False
2019-08-11,21,False
2019-08-18,59,False
2019-08-25,0,False
2019-09-01,21,False
2019-09-08,22,False
2019-09-15,42,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,22,False
2019-10-13,0,False
2019-10-20,20,False
2019-10-27,21,False
2019-11-03,20,False
2019-11-10,42,False
2019-11-17,30,False
2019-11-24,21,False
2019-12-01,21,False
2019-12-08,33,False
2019-12-15,22,False
2019-12-22,52,False
2019-12-29,47,False
2020-01-05,44,False
2020-01-12,41,False
2020-01-19,21,False
2020-01-26,21,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,21,False
2020-02-23,38,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,26,False
2020-03-29,54,False
2020-04-05,19,False
2020-04-12,28,False
2020-04-19,35,False
2020-04-26,91,True
