date,Cours maths,isPartial
2018-01-07,63,False
2018-01-14,31,False
2018-01-21,62,False
2018-01-28,32,False
2018-02-04,31,False
2018-02-11,63,False
2018-02-18,49,False
2018-02-25,30,False
2018-03-04,61,False
2018-03-11,65,False
2018-03-18,31,False
2018-03-25,32,False
2018-04-01,32,False
2018-04-08,44,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,41,False
2018-05-13,62,False
2018-05-20,81,False
2018-05-27,47,False
2018-06-03,63,False
2018-06-10,40,False
2018-06-17,48,False
2018-06-24,79,False
2018-07-01,0,False
2018-07-08,75,False
2018-07-15,31,False
2018-07-22,30,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,85,False
2018-08-19,0,False
2018-08-26,61,False
2018-09-02,95,False
2018-09-09,31,False
2018-09-16,64,False
2018-09-23,33,False
2018-09-30,43,False
2018-10-07,32,False
2018-10-14,43,False
2018-10-21,67,False
2018-10-28,64,False
2018-11-04,47,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,33,False
2018-12-09,50,False
2018-12-16,34,False
2018-12-23,57,False
2018-12-30,36,False
2019-01-06,33,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,65,False
2019-02-17,0,False
2019-02-24,34,False
2019-03-03,0,False
2019-03-10,66,False
2019-03-17,50,False
2019-03-24,100,False
2019-03-31,32,False
2019-04-07,32,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,65,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,31,False
2019-05-26,0,False
2019-06-02,60,False
2019-06-09,30,False
2019-06-16,63,False
2019-06-23,31,False
2019-06-30,30,False
2019-07-07,29,False
2019-07-14,28,False
2019-07-21,42,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,24,False
2019-09-01,57,False
2019-09-08,72,False
2019-09-15,47,False
2019-09-22,48,False
2019-09-29,29,False
2019-10-06,59,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,43,False
2019-11-10,29,False
2019-11-17,28,False
2019-11-24,56,False
2019-12-01,38,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,32,False
2019-12-29,61,False
2020-01-05,42,False
2020-01-12,27,False
2020-01-19,40,False
2020-01-26,55,False
2020-02-02,38,False
2020-02-09,43,False
2020-02-16,28,False
2020-02-23,26,False
2020-03-01,34,False
2020-03-08,26,False
2020-03-15,47,False
2020-03-22,45,False
2020-03-29,23,False
2020-04-05,47,False
2020-04-12,23,False
2020-04-19,33,False
2020-04-26,36,False
2020-05-03,22,False
2020-05-10,22,False
2020-05-17,57,True
