date,Cours maths,isPartial
2018-01-07,29,False
2018-01-14,44,False
2018-01-21,38,False
2018-01-28,26,False
2018-02-04,29,False
2018-02-11,38,False
2018-02-18,49,False
2018-02-25,20,False
2018-03-04,40,False
2018-03-11,33,False
2018-03-18,27,False
2018-03-25,33,False
2018-04-01,40,False
2018-04-08,33,False
2018-04-15,20,False
2018-04-22,20,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,27,False
2018-05-20,0,False
2018-05-27,58,False
2018-06-03,58,False
2018-06-10,31,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,38,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,0,False
2018-08-05,22,False
2018-08-12,22,False
2018-08-19,21,False
2018-08-26,20,False
2018-09-02,41,False
2018-09-09,51,False
2018-09-16,30,False
2018-09-23,51,False
2018-09-30,40,False
2018-10-07,20,False
2018-10-14,0,False
2018-10-21,41,False
2018-10-28,20,False
2018-11-04,39,False
2018-11-11,25,False
2018-11-18,28,False
2018-11-25,55,False
2018-12-02,18,False
2018-12-09,38,False
2018-12-16,48,False
2018-12-23,21,False
2018-12-30,27,False
2019-01-06,37,False
2019-01-13,19,False
2019-01-20,37,False
2019-01-27,36,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,50,False
2019-02-24,32,False
2019-03-03,55,False
2019-03-10,38,False
2019-03-17,0,False
2019-03-24,29,False
2019-03-31,20,False
2019-04-07,21,False
2019-04-14,21,False
2019-04-21,20,False
2019-04-28,32,False
2019-05-05,38,False
2019-05-12,100,False
2019-05-19,39,False
2019-05-26,27,False
2019-06-02,36,False
2019-06-09,19,False
2019-06-16,20,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,0,False
2019-07-28,21,False
2019-08-04,20,False
2019-08-11,0,False
2019-08-18,20,False
2019-08-25,19,False
2019-09-01,38,False
2019-09-08,25,False
2019-09-15,31,False
2019-09-22,26,False
2019-09-29,24,False
2019-10-06,18,False
2019-10-13,24,False
2019-10-20,0,False
2019-10-27,17,False
2019-11-03,26,False
2019-11-10,17,False
2019-11-17,26,False
2019-11-24,17,False
2019-12-01,34,False
2019-12-08,34,False
2019-12-15,40,False
2019-12-22,19,False
2019-12-29,0,False
2020-01-05,34,False
2020-01-12,0,False
2020-01-19,51,False
2020-01-26,25,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,21,False
2020-03-08,16,False
2020-03-15,19,False
2020-03-22,27,False
2020-03-29,41,False
2020-04-05,27,False
2020-04-12,14,False
2020-04-19,23,False
2020-04-26,38,False
2020-05-03,26,False
2020-05-10,34,False
2020-05-17,71,True
