date,Photovoltaikanlagen,isPartial
2018-01-07,42,False
2018-01-14,69,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,43,False
2018-02-11,57,False
2018-02-18,47,False
2018-02-25,28,False
2018-03-04,43,False
2018-03-11,57,False
2018-03-18,38,False
2018-03-25,30,False
2018-04-01,40,False
2018-04-08,28,False
2018-04-15,58,False
2018-04-22,28,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,37,False
2018-05-20,59,False
2018-05-27,42,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,46,False
2018-06-24,57,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,30,False
2018-08-05,60,False
2018-08-12,30,False
2018-08-19,29,False
2018-08-26,29,False
2018-09-02,57,False
2018-09-09,29,False
2018-09-16,0,False
2018-09-23,86,False
2018-09-30,29,False
2018-10-07,48,False
2018-10-14,39,False
2018-10-21,58,False
2018-10-28,28,False
2018-11-04,36,False
2018-11-11,42,False
2018-11-18,36,False
2018-11-25,27,False
2018-12-02,55,False
2018-12-09,41,False
2018-12-16,28,False
2018-12-23,32,False
2018-12-30,59,False
2019-01-06,39,False
2019-01-13,26,False
2019-01-20,35,False
2019-01-27,26,False
2019-02-03,35,False
2019-02-10,40,False
2019-02-17,81,False
2019-02-24,96,False
2019-03-03,62,False
2019-03-10,52,False
2019-03-17,64,False
2019-03-24,95,False
2019-03-31,27,False
2019-04-07,64,False
2019-04-14,44,False
2019-04-21,0,False
2019-04-28,55,False
2019-05-05,52,False
2019-05-12,27,False
2019-05-19,94,False
2019-05-26,37,False
2019-06-02,54,False
2019-06-09,46,False
2019-06-16,82,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,27,False
2019-07-14,42,False
2019-07-21,30,False
2019-07-28,44,False
2019-08-04,50,False
2019-08-11,43,False
2019-08-18,47,False
2019-08-25,54,False
2019-09-01,27,False
2019-09-08,41,False
2019-09-15,36,False
2019-09-22,40,False
2019-09-29,54,False
2019-10-06,26,False
2019-10-13,53,False
2019-10-20,44,False
2019-10-27,43,False
2019-11-03,100,False
2019-11-10,50,False
2019-11-17,25,False
2019-11-24,48,False
2019-12-01,63,False
2019-12-08,75,False
2019-12-15,50,False
2019-12-22,87,False
2019-12-29,0,False
2020-01-05,32,False
2020-01-12,46,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,59,False
2020-02-09,45,False
2020-02-16,32,False
2020-02-23,58,False
2020-03-01,23,False
2020-03-08,22,False
2020-03-15,43,False
2020-03-22,76,False
2020-03-29,85,False
2020-04-05,71,False
2020-04-12,59,False
2020-04-19,54,False
2020-04-26,64,False
2020-05-03,43,False
2020-05-10,36,False
