date,Photovoltaikanlagen,isPartial
2018-01-07,21,False
2018-01-14,30,False
2018-01-21,20,False
2018-01-28,21,False
2018-02-04,21,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,32,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,21,False
2018-03-25,67,False
2018-04-01,23,False
2018-04-08,0,False
2018-04-15,44,False
2018-04-22,32,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,23,False
2018-05-27,24,False
2018-06-03,22,False
2018-06-10,28,False
2018-06-17,43,False
2018-06-24,22,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,21,False
2018-07-22,22,False
2018-07-29,0,False
2018-08-05,23,False
2018-08-12,0,False
2018-08-19,24,False
2018-08-26,23,False
2018-09-02,22,False
2018-09-09,43,False
2018-09-16,21,False
2018-09-23,22,False
2018-09-30,22,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,41,False
2018-10-28,21,False
2018-11-04,41,False
2018-11-11,0,False
2018-11-18,20,False
2018-11-25,40,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,33,False
2019-01-06,19,False
2019-01-13,0,False
2019-01-20,45,False
2019-01-27,19,False
2019-02-03,39,False
2019-02-10,20,False
2019-02-17,30,False
2019-02-24,30,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,27,False
2019-03-24,30,False
2019-03-31,20,False
2019-04-07,20,False
2019-04-14,36,False
2019-04-21,32,False
2019-04-28,34,False
2019-05-05,58,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,27,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,21,False
2019-06-23,40,False
2019-06-30,20,False
2019-07-07,29,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,21,False
2019-08-04,22,False
2019-08-11,21,False
2019-08-18,22,False
2019-08-25,33,False
2019-09-01,21,False
2019-09-08,100,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,38,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,30,False
2019-12-01,19,False
2019-12-08,28,False
2019-12-15,38,False
2019-12-22,43,False
2019-12-29,28,False
2020-01-05,24,False
2020-01-12,29,False
2020-01-19,27,False
2020-01-26,35,False
2020-02-02,35,False
2020-02-09,35,False
2020-02-16,18,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,16,False
2020-04-05,17,False
2020-04-12,22,False
2020-04-19,16,False
2020-04-26,23,False
2020-05-03,32,False
2020-05-10,39,False
