date,Photovoltaikanlagen,isPartial
2018-01-07,34,False
2018-01-14,20,False
2018-01-21,20,False
2018-01-28,61,False
2018-02-04,21,False
2018-02-11,22,False
2018-02-18,64,False
2018-02-25,42,False
2018-03-04,42,False
2018-03-11,32,False
2018-03-18,43,False
2018-03-25,38,False
2018-04-01,58,False
2018-04-08,44,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,22,False
2018-05-06,33,False
2018-05-13,31,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,21,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,20,False
2018-07-08,50,False
2018-07-15,82,False
2018-07-22,62,False
2018-07-29,28,False
2018-08-05,29,False
2018-08-12,34,False
2018-08-19,23,False
2018-08-26,22,False
2018-09-02,33,False
2018-09-09,32,False
2018-09-16,43,False
2018-09-23,32,False
2018-09-30,21,False
2018-10-07,62,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,27,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,40,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,22,False
2019-01-06,19,False
2019-01-13,38,False
2019-01-20,38,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,39,False
2019-02-17,20,False
2019-02-24,40,False
2019-03-03,0,False
2019-03-10,29,False
2019-03-17,0,False
2019-03-24,51,False
2019-03-31,31,False
2019-04-07,20,False
2019-04-14,44,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,39,False
2019-05-12,20,False
2019-05-19,19,False
2019-05-26,31,False
2019-06-02,40,False
2019-06-09,21,False
2019-06-16,42,False
2019-06-23,30,False
2019-06-30,46,False
2019-07-07,25,False
2019-07-14,100,False
2019-07-21,62,False
2019-07-28,41,False
2019-08-04,63,False
2019-08-11,21,False
2019-08-18,44,False
2019-08-25,53,False
2019-09-01,30,False
2019-09-08,40,False
2019-09-15,20,False
2019-09-22,26,False
2019-09-29,19,False
2019-10-06,29,False
2019-10-13,38,False
2019-10-20,28,False
2019-10-27,38,False
2019-11-03,36,False
2019-11-10,31,False
2019-11-17,31,False
2019-11-24,37,False
2019-12-01,19,False
2019-12-08,32,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,41,False
2020-01-05,42,False
2020-01-12,26,False
2020-01-19,24,False
2020-01-26,36,False
2020-02-02,27,False
2020-02-09,17,False
2020-02-16,27,False
2020-02-23,54,False
2020-03-01,17,False
2020-03-08,33,False
2020-03-15,26,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,27,False
2020-04-12,51,False
2020-04-19,16,False
2020-04-26,22,False
2020-05-03,16,False
2020-05-10,17,False
