date,Gipser,isPartial
2018-01-07,46,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,94,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,47,False
2018-03-11,47,False
2018-03-18,63,False
2018-03-25,50,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,47,False
2018-04-29,49,False
2018-05-06,100,False
2018-05-13,48,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,73,False
2018-06-10,0,False
2018-06-17,48,False
2018-06-24,50,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,50,False
2018-07-29,0,False
2018-08-05,47,False
2018-08-12,93,False
2018-08-19,94,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,50,False
2018-10-07,50,False
2018-10-14,48,False
2018-10-21,0,False
2018-10-28,69,False
2018-11-04,45,False
2018-11-11,46,False
2018-11-18,45,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,47,False
2018-12-16,48,False
2018-12-23,50,False
2018-12-30,0,False
2019-01-06,43,False
2019-01-13,43,False
2019-01-20,86,False
2019-01-27,43,False
2019-02-03,0,False
2019-02-10,45,False
2019-02-17,45,False
2019-02-24,0,False
2019-03-03,67,False
2019-03-10,58,False
2019-03-17,0,False
2019-03-24,45,False
2019-03-31,0,False
2019-04-07,45,False
2019-04-14,47,False
2019-04-21,71,False
2019-04-28,46,False
2019-05-05,43,False
2019-05-12,0,False
2019-05-19,45,False
2019-05-26,45,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,46,False
2019-06-30,70,False
2019-07-07,69,False
2019-07-14,48,False
2019-07-21,0,False
2019-07-28,49,False
2019-08-04,0,False
2019-08-11,44,False
2019-08-18,67,False
2019-08-25,0,False
2019-09-01,87,False
2019-09-08,45,False
2019-09-15,46,False
2019-09-22,44,False
2019-09-29,45,False
2019-10-06,44,False
2019-10-13,0,False
2019-10-20,42,False
2019-10-27,41,False
2019-11-03,41,False
2019-11-10,0,False
2019-11-17,41,False
2019-11-24,41,False
2019-12-01,42,False
2019-12-08,41,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,43,False
2020-01-05,40,False
2020-01-12,58,False
2020-01-19,40,False
2020-01-26,39,False
2020-02-02,58,False
2020-02-09,38,False
2020-02-16,41,False
2020-02-23,76,False
2020-03-01,51,False
2020-03-08,0,False
2020-03-15,34,False
2020-03-22,0,False
2020-03-29,33,False
2020-04-05,74,False
2020-04-12,70,False
2020-04-19,34,False
2020-04-26,33,False
2020-05-03,69,False
2020-05-10,0,False
