date,Abus Schlüssel nachbestellen,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,68,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,23,False
2018-02-18,47,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,23,False
2018-03-18,0,False
2018-03-25,25,False
2018-04-01,37,False
2018-04-08,72,False
2018-04-15,24,False
2018-04-22,35,False
2018-04-29,49,False
2018-05-06,24,False
2018-05-13,23,False
2018-05-20,100,False
2018-05-27,48,False
2018-06-03,23,False
2018-06-10,23,False
2018-06-17,57,False
2018-06-24,47,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,36,False
2018-07-22,36,False
2018-07-29,24,False
2018-08-05,72,False
2018-08-12,36,False
2018-08-19,72,False
2018-08-26,36,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,23,False
2018-09-23,46,False
2018-09-30,70,False
2018-10-07,46,False
2018-10-14,0,False
2018-10-21,69,False
2018-10-28,34,False
2018-11-04,22,False
2018-11-11,23,False
2018-11-18,44,False
2018-11-25,0,False
2018-12-02,22,False
2018-12-09,45,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,24,False
2019-01-06,64,False
2019-01-13,0,False
2019-01-20,32,False
2019-01-27,42,False
2019-02-03,43,False
2019-02-10,44,False
2019-02-17,22,False
2019-02-24,23,False
2019-03-03,86,False
2019-03-10,54,False
2019-03-17,45,False
2019-03-24,66,False
2019-03-31,34,False
2019-04-07,22,False
2019-04-14,60,False
2019-04-21,0,False
2019-04-28,33,False
2019-05-05,21,False
2019-05-12,22,False
2019-05-19,22,False
2019-05-26,0,False
2019-06-02,65,False
2019-06-09,34,False
2019-06-16,23,False
2019-06-23,22,False
2019-06-30,44,False
2019-07-07,66,False
2019-07-14,46,False
2019-07-21,72,False
2019-07-28,47,False
2019-08-04,47,False
2019-08-11,0,False
2019-08-18,57,False
2019-08-25,45,False
2019-09-01,0,False
2019-09-08,22,False
2019-09-15,0,False
2019-09-22,32,False
2019-09-29,65,False
2019-10-06,43,False
2019-10-13,32,False
2019-10-20,42,False
2019-10-27,63,False
2019-11-03,0,False
2019-11-10,82,False
2019-11-17,41,False
2019-11-24,20,False
2019-12-01,0,False
2019-12-08,41,False
2019-12-15,21,False
2019-12-22,36,False
2019-12-29,0,False
2020-01-05,20,False
2020-01-12,19,False
2020-01-19,39,False
2020-01-26,0,False
2020-02-02,29,False
2020-02-09,19,False
2020-02-16,40,False
2020-02-23,58,False
2020-03-01,38,False
2020-03-08,36,False
2020-03-15,44,False
2020-03-22,17,False
2020-03-29,26,False
2020-04-05,29,False
2020-04-12,18,False
2020-04-19,18,False
2020-04-26,17,False
2020-05-03,35,False
2020-05-10,36,False
