date,nozze,isPartial
2018-01-07,25,False
2018-01-14,19,False
2018-01-21,25,False
2018-01-28,36,False
2018-02-04,36,False
2018-02-11,37,False
2018-02-18,12,False
2018-02-25,34,False
2018-03-04,29,False
2018-03-11,46,False
2018-03-18,18,False
2018-03-25,61,False
2018-04-01,26,False
2018-04-08,48,False
2018-04-15,44,False
2018-04-22,32,False
2018-04-29,30,False
2018-05-06,48,False
2018-05-13,100,False
2018-05-20,66,False
2018-05-27,49,False
2018-06-03,42,False
2018-06-10,23,False
2018-06-17,73,False
2018-06-24,48,False
2018-07-01,23,False
2018-07-08,58,False
2018-07-15,30,False
2018-07-22,42,False
2018-07-29,37,False
2018-08-05,43,False
2018-08-12,27,False
2018-08-19,25,False
2018-08-26,47,False
2018-09-02,30,False
2018-09-09,36,False
2018-09-16,18,False
2018-09-23,24,False
2018-09-30,30,False
2018-10-07,61,False
2018-10-14,43,False
2018-10-21,49,False
2018-10-28,35,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,19,False
2018-12-09,18,False
2018-12-16,46,False
2018-12-23,33,False
2018-12-30,38,False
2019-01-06,0,False
2019-01-13,26,False
2019-01-20,31,False
2019-01-27,46,False
2019-02-03,11,False
2019-02-10,21,False
2019-02-17,43,False
2019-02-24,32,False
2019-03-03,21,False
2019-03-10,11,False
2019-03-17,21,False
2019-03-24,22,False
2019-03-31,64,False
2019-04-07,31,False
2019-04-14,11,False
2019-04-21,51,False
2019-04-28,41,False
2019-05-05,40,False
2019-05-12,15,False
2019-05-19,45,False
2019-05-26,39,False
2019-06-02,32,False
2019-06-09,28,False
2019-06-16,38,False
2019-06-23,32,False
2019-06-30,32,False
2019-07-07,21,False
2019-07-14,44,False
2019-07-21,23,False
2019-07-28,62,False
2019-08-04,24,False
2019-08-11,25,False
2019-08-18,17,False
2019-08-25,11,False
2019-09-01,46,False
2019-09-08,41,False
2019-09-15,30,False
2019-09-22,39,False
2019-09-29,48,False
2019-10-06,35,False
2019-10-13,15,False
2019-10-20,25,False
2019-10-27,29,False
2019-11-03,32,False
2019-11-10,29,False
2019-11-17,9,False
2019-11-24,19,False
2019-12-01,10,False
2019-12-08,10,False
2019-12-15,10,False
2019-12-22,17,False
2019-12-29,18,False
2020-01-05,26,False
2020-01-12,9,False
2020-01-19,33,False
2020-01-26,27,False
2020-02-02,41,False
2020-02-09,19,False
2020-02-16,42,False
2020-02-23,18,False
2020-03-01,9,False
2020-03-08,8,False
2020-03-15,8,False
2020-03-22,8,False
2020-03-29,29,False
2020-04-05,13,False
2020-04-12,26,False
2020-04-19,8,False
2020-04-26,14,True
