date,Sanitärtechnik,isPartial
2018-01-07,39,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,43,False
2018-02-11,38,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,26,False
2018-03-11,52,False
2018-03-18,37,False
2018-03-25,27,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,26,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,26,False
2018-05-20,85,False
2018-05-27,26,False
2018-06-03,52,False
2018-06-10,74,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,45,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,28,False
2018-08-05,54,False
2018-08-12,39,False
2018-08-19,27,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,26,False
2018-09-16,0,False
2018-09-23,40,False
2018-09-30,29,False
2018-10-07,56,False
2018-10-14,26,False
2018-10-21,50,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,0,False
2018-11-18,100,False
2018-11-25,50,False
2018-12-02,37,False
2018-12-09,25,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,61,False
2019-01-27,24,False
2019-02-03,49,False
2019-02-10,33,False
2019-02-17,25,False
2019-02-24,75,False
2019-03-03,0,False
2019-03-10,25,False
2019-03-17,25,False
2019-03-24,26,False
2019-03-31,26,False
2019-04-07,38,False
2019-04-14,55,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,37,False
2019-05-12,79,False
2019-05-19,50,False
2019-05-26,27,False
2019-06-02,0,False
2019-06-09,28,False
2019-06-16,28,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,28,False
2019-09-01,27,False
2019-09-08,41,False
2019-09-15,46,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,55,False
2019-10-13,38,False
2019-10-20,23,False
2019-10-27,39,False
2019-11-03,25,False
2019-11-10,39,False
2019-11-17,23,False
2019-11-24,24,False
2019-12-01,26,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,37,False
2019-12-29,31,False
2020-01-05,24,False
2020-01-12,24,False
2020-01-19,23,False
2020-01-26,23,False
2020-02-02,36,False
2020-02-09,23,False
2020-02-16,21,False
2020-02-23,21,False
2020-03-01,22,False
2020-03-08,42,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,45,False
2020-04-26,19,False
2020-05-03,19,False
2020-05-10,19,False
