date,bomboniere per laurea,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,33,False
2018-01-28,59,False
2018-02-04,71,False
2018-02-11,46,False
2018-02-18,45,False
2018-02-25,70,False
2018-03-04,58,False
2018-03-11,26,False
2018-03-18,65,False
2018-03-25,83,False
2018-04-01,50,False
2018-04-08,53,False
2018-04-15,40,False
2018-04-22,21,False
2018-04-29,47,False
2018-05-06,79,False
2018-05-13,26,False
2018-05-20,20,False
2018-05-27,47,False
2018-06-03,40,False
2018-06-10,26,False
2018-06-17,27,False
2018-06-24,60,False
2018-07-01,86,False
2018-07-08,40,False
2018-07-15,34,False
2018-07-22,27,False
2018-07-29,42,False
2018-08-05,21,False
2018-08-12,23,False
2018-08-19,0,False
2018-08-26,41,False
2018-09-02,32,False
2018-09-09,45,False
2018-09-16,51,False
2018-09-23,46,False
2018-09-30,52,False
2018-10-07,87,False
2018-10-14,68,False
2018-10-21,66,False
2018-10-28,39,False
2018-11-04,32,False
2018-11-11,46,False
2018-11-18,0,False
2018-11-25,46,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,14,False
2018-12-23,16,False
2018-12-30,14,False
2019-01-06,40,False
2019-01-13,52,False
2019-01-20,50,False
2019-01-27,55,False
2019-02-03,62,False
2019-02-10,38,False
2019-02-17,58,False
2019-02-24,32,False
2019-03-03,100,False
2019-03-10,39,False
2019-03-17,33,False
2019-03-24,53,False
2019-03-31,46,False
2019-04-07,26,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,13,False
2019-05-05,13,False
2019-05-12,31,False
2019-05-19,38,False
2019-05-26,24,False
2019-06-02,52,False
2019-06-09,33,False
2019-06-16,53,False
2019-06-23,47,False
2019-06-30,74,False
2019-07-07,58,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,14,False
2019-08-04,28,False
2019-08-11,30,False
2019-08-18,55,False
2019-08-25,57,False
2019-09-01,24,False
2019-09-08,75,False
2019-09-15,60,False
2019-09-22,97,False
2019-09-29,49,False
2019-10-06,100,False
2019-10-13,74,False
2019-10-20,36,False
2019-10-27,79,False
2019-11-03,35,False
2019-11-10,77,False
2019-11-17,65,False
2019-11-24,29,False
2019-12-01,18,False
2019-12-08,12,False
2019-12-15,12,False
2019-12-22,0,False
2019-12-29,14,False
2020-01-05,12,False
2020-01-12,17,False
2020-01-19,63,False
2020-01-26,51,False
2020-02-02,50,False
2020-02-09,29,False
2020-02-16,46,False
2020-02-23,32,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,10,False
2020-03-22,14,False
2020-03-29,15,False
2020-04-05,31,False
2020-04-12,16,False
2020-04-19,0,False
2020-04-26,26,True
