date,Mudanza,isPartial
2018-01-07,62,False
2018-01-14,25,False
2018-01-21,37,False
2018-01-28,38,False
2018-02-04,0,False
2018-02-11,52,False
2018-02-18,34,False
2018-02-25,25,False
2018-03-04,73,False
2018-03-11,25,False
2018-03-18,38,False
2018-03-25,27,False
2018-04-01,36,False
2018-04-08,24,False
2018-04-15,37,False
2018-04-22,0,False
2018-04-29,25,False
2018-05-06,49,False
2018-05-13,43,False
2018-05-20,33,False
2018-05-27,24,False
2018-06-03,47,False
2018-06-10,31,False
2018-06-17,26,False
2018-06-24,33,False
2018-07-01,61,False
2018-07-08,25,False
2018-07-15,97,False
2018-07-22,77,False
2018-07-29,57,False
2018-08-05,23,False
2018-08-12,48,False
2018-08-19,37,False
2018-08-26,57,False
2018-09-02,85,False
2018-09-09,25,False
2018-09-16,24,False
2018-09-23,36,False
2018-09-30,0,False
2018-10-07,25,False
2018-10-14,50,False
2018-10-21,25,False
2018-10-28,42,False
2018-11-04,31,False
2018-11-11,100,False
2018-11-18,23,False
2018-11-25,61,False
2018-12-02,34,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,28,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,47,False
2019-02-03,40,False
2019-02-10,57,False
2019-02-17,48,False
2019-02-24,36,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,24,False
2019-04-07,48,False
2019-04-14,25,False
2019-04-21,35,False
2019-04-28,36,False
2019-05-05,46,False
2019-05-12,72,False
2019-05-19,48,False
2019-05-26,46,False
2019-06-02,44,False
2019-06-09,23,False
2019-06-16,57,False
2019-06-23,71,False
2019-06-30,59,False
2019-07-07,32,False
2019-07-14,36,False
2019-07-21,36,False
2019-07-28,24,False
2019-08-04,22,False
2019-08-11,23,False
2019-08-18,30,False
2019-08-25,67,False
2019-09-01,45,False
2019-09-08,35,False
2019-09-15,22,False
2019-09-22,34,False
2019-09-29,0,False
2019-10-06,66,False
2019-10-13,42,False
2019-10-20,33,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,21,False
2019-11-17,22,False
2019-11-24,31,False
2019-12-01,56,False
2019-12-08,22,False
2019-12-15,42,False
2019-12-22,23,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,46,False
2020-01-19,63,False
2020-01-26,27,False
2020-02-02,21,False
2020-02-09,0,False
2020-02-16,21,False
2020-02-23,52,False
2020-03-01,26,False
2020-03-08,29,False
2020-03-15,38,False
2020-03-22,30,False
2020-03-29,18,False
2020-04-05,27,False
2020-04-12,29,False
2020-04-19,62,False
2020-04-26,51,False
2020-05-03,40,False
2020-05-10,73,False
2020-05-17,43,True
