date,Wohnung entrümpeln,isPartial
2018-01-07,48,False
2018-01-14,32,False
2018-01-21,21,False
2018-01-28,27,False
2018-02-04,16,False
2018-02-11,33,False
2018-02-18,25,False
2018-02-25,22,False
2018-03-04,22,False
2018-03-11,16,False
2018-03-18,0,False
2018-03-25,17,False
2018-04-01,52,False
2018-04-08,42,False
2018-04-15,29,False
2018-04-22,81,False
2018-04-29,23,False
2018-05-06,17,False
2018-05-13,16,False
2018-05-20,23,False
2018-05-27,84,False
2018-06-03,33,False
2018-06-10,32,False
2018-06-17,16,False
2018-06-24,100,False
2018-07-01,16,False
2018-07-08,16,False
2018-07-15,42,False
2018-07-22,23,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,25,False
2018-08-26,25,False
2018-09-02,33,False
2018-09-09,25,False
2018-09-16,16,False
2018-09-23,25,False
2018-09-30,58,False
2018-10-07,25,False
2018-10-14,16,False
2018-10-21,48,False
2018-10-28,32,False
2018-11-04,16,False
2018-11-11,16,False
2018-11-18,15,False
2018-11-25,24,False
2018-12-02,47,False
2018-12-09,24,False
2018-12-16,33,False
2018-12-23,25,False
2018-12-30,23,False
2019-01-06,35,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,37,False
2019-02-03,46,False
2019-02-10,21,False
2019-02-17,21,False
2019-02-24,26,False
2019-03-03,61,False
2019-03-10,40,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,26,False
2019-04-07,39,False
2019-04-14,23,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,20,False
2019-05-12,47,False
2019-05-19,31,False
2019-05-26,16,False
2019-06-02,21,False
2019-06-09,32,False
2019-06-16,40,False
2019-06-23,16,False
2019-06-30,36,False
2019-07-07,26,False
2019-07-14,38,False
2019-07-21,17,False
2019-07-28,16,False
2019-08-04,17,False
2019-08-11,31,False
2019-08-18,16,False
2019-08-25,32,False
2019-09-01,15,False
2019-09-08,31,False
2019-09-15,15,False
2019-09-22,45,False
2019-09-29,15,False
2019-10-06,15,False
2019-10-13,25,False
2019-10-20,20,False
2019-10-27,29,False
2019-11-03,24,False
2019-11-10,14,False
2019-11-17,14,False
2019-11-24,28,False
2019-12-01,14,False
2019-12-08,0,False
2019-12-15,15,False
2019-12-22,17,False
2019-12-29,23,False
2020-01-05,42,False
2020-01-12,13,False
2020-01-19,23,False
2020-01-26,18,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,28,False
2020-02-23,13,False
2020-03-01,33,False
2020-03-08,25,False
2020-03-15,12,False
2020-03-22,20,False
2020-03-29,30,False
2020-04-05,23,False
2020-04-12,22,False
2020-04-19,21,False
2020-04-26,24,False
2020-05-03,25,False
2020-05-10,44,False
