date,maintenance climatisation,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,56,False
2018-01-28,28,False
2018-02-04,42,False
2018-02-11,28,False
2018-02-18,29,False
2018-02-25,0,False
2018-03-04,57,False
2018-03-11,28,False
2018-03-18,57,False
2018-03-25,58,False
2018-04-01,59,False
2018-04-08,57,False
2018-04-15,30,False
2018-04-22,44,False
2018-04-29,29,False
2018-05-06,91,False
2018-05-13,29,False
2018-05-20,44,False
2018-05-27,28,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,57,False
2018-06-24,48,False
2018-07-01,42,False
2018-07-08,74,False
2018-07-15,0,False
2018-07-22,62,False
2018-07-29,93,False
2018-08-05,63,False
2018-08-12,65,False
2018-08-19,63,False
2018-08-26,30,False
2018-09-02,44,False
2018-09-09,29,False
2018-09-16,58,False
2018-09-23,0,False
2018-09-30,29,False
2018-10-07,29,False
2018-10-14,29,False
2018-10-21,30,False
2018-10-28,29,False
2018-11-04,0,False
2018-11-11,28,False
2018-11-18,28,False
2018-11-25,47,False
2018-12-02,43,False
2018-12-09,29,False
2018-12-16,44,False
2018-12-23,100,False
2018-12-30,31,False
2019-01-06,42,False
2019-01-13,38,False
2019-01-20,42,False
2019-01-27,55,False
2019-02-03,55,False
2019-02-10,58,False
2019-02-17,44,False
2019-02-24,58,False
2019-03-03,42,False
2019-03-10,42,False
2019-03-17,49,False
2019-03-24,29,False
2019-03-31,56,False
2019-04-07,29,False
2019-04-14,44,False
2019-04-21,44,False
2019-04-28,56,False
2019-05-05,56,False
2019-05-12,28,False
2019-05-19,42,False
2019-05-26,28,False
2019-06-02,0,False
2019-06-09,27,False
2019-06-16,28,False
2019-06-23,56,False
2019-06-30,56,False
2019-07-07,47,False
2019-07-14,72,False
2019-07-21,74,False
2019-07-28,30,False
2019-08-04,61,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,28,False
2019-09-01,27,False
2019-09-08,68,False
2019-09-15,68,False
2019-09-22,61,False
2019-09-29,52,False
2019-10-06,26,False
2019-10-13,53,False
2019-10-20,53,False
2019-10-27,26,False
2019-11-03,38,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,74,False
2019-12-01,51,False
2019-12-08,38,False
2019-12-15,26,False
2019-12-22,29,False
2019-12-29,27,False
2020-01-05,37,False
2020-01-12,24,False
2020-01-19,25,False
2020-01-26,33,False
2020-02-02,50,False
2020-02-09,33,False
2020-02-16,25,False
2020-02-23,36,False
2020-03-01,24,False
2020-03-08,47,False
2020-03-15,22,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,33,False
2020-04-12,22,False
2020-04-19,44,False
2020-04-26,0,False
2020-05-03,32,False
2020-05-10,33,False
2020-05-17,0,True
