date,Heizungstechnik,isPartial
2018-01-07,33,False
2018-01-14,79,False
2018-01-21,0,False
2018-01-28,81,False
2018-02-04,33,False
2018-02-11,99,False
2018-02-18,66,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,32,False
2018-03-18,50,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,57,False
2018-04-15,52,False
2018-04-22,34,False
2018-04-29,35,False
2018-05-06,70,False
2018-05-13,34,False
2018-05-20,55,False
2018-05-27,36,False
2018-06-03,52,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,33,False
2018-07-22,51,False
2018-07-29,35,False
2018-08-05,36,False
2018-08-12,61,False
2018-08-19,37,False
2018-08-26,55,False
2018-09-02,35,False
2018-09-09,46,False
2018-09-16,33,False
2018-09-23,34,False
2018-09-30,68,False
2018-10-07,100,False
2018-10-14,49,False
2018-10-21,48,False
2018-10-28,83,False
2018-11-04,32,False
2018-11-11,80,False
2018-11-18,31,False
2018-11-25,63,False
2018-12-02,42,False
2018-12-09,63,False
2018-12-16,0,False
2018-12-23,38,False
2018-12-30,69,False
2019-01-06,51,False
2019-01-13,0,False
2019-01-20,40,False
2019-01-27,30,False
2019-02-03,91,False
2019-02-10,31,False
2019-02-17,0,False
2019-02-24,32,False
2019-03-03,42,False
2019-03-10,30,False
2019-03-17,42,False
2019-03-24,47,False
2019-03-31,94,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,62,False
2019-05-05,60,False
2019-05-12,93,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,31,False
2019-06-09,82,False
2019-06-16,33,False
2019-06-23,52,False
2019-06-30,31,False
2019-07-07,30,False
2019-07-14,42,False
2019-07-21,33,False
2019-07-28,33,False
2019-08-04,35,False
2019-08-11,50,False
2019-08-18,35,False
2019-08-25,69,False
2019-09-01,32,False
2019-09-08,32,False
2019-09-15,63,False
2019-09-22,60,False
2019-09-29,41,False
2019-10-06,70,False
2019-10-13,0,False
2019-10-20,49,False
2019-10-27,88,False
2019-11-03,29,False
2019-11-10,73,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,44,False
2019-12-08,86,False
2019-12-15,30,False
2019-12-22,34,False
2019-12-29,49,False
2020-01-05,29,False
2020-01-12,54,False
2020-01-19,42,False
2020-01-26,54,False
2020-02-02,41,False
2020-02-09,54,False
2020-02-16,38,False
2020-02-23,27,False
2020-03-01,40,False
2020-03-08,34,False
2020-03-15,0,False
2020-03-22,24,False
2020-03-29,74,False
2020-04-05,0,False
2020-04-12,39,False
2020-04-19,38,False
2020-04-26,0,False
2020-05-03,49,False
2020-05-10,37,False
