date,Heizungstechnik,isPartial
2018-01-07,20,False
2018-01-14,29,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,61,False
2018-02-11,21,False
2018-02-18,51,False
2018-02-25,20,False
2018-03-04,21,False
2018-03-11,20,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,22,False
2018-04-08,21,False
2018-04-15,42,False
2018-04-22,21,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,41,False
2018-06-10,0,False
2018-06-17,20,False
2018-06-24,0,False
2018-07-01,19,False
2018-07-08,19,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,20,False
2018-08-05,0,False
2018-08-12,22,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,43,False
2018-09-09,0,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,41,False
2018-10-07,30,False
2018-10-14,41,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,39,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,39,False
2018-12-02,38,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,37,False
2019-01-13,36,False
2019-01-20,73,False
2019-01-27,37,False
2019-02-03,18,False
2019-02-10,28,False
2019-02-17,37,False
2019-02-24,19,False
2019-03-03,39,False
2019-03-10,38,False
2019-03-17,20,False
2019-03-24,20,False
2019-03-31,100,False
2019-04-07,39,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,57,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,29,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,0,False
2019-07-07,18,False
2019-07-14,58,False
2019-07-21,20,False
2019-07-28,39,False
2019-08-04,20,False
2019-08-11,21,False
2019-08-18,0,False
2019-08-25,41,False
2019-09-01,59,False
2019-09-08,38,False
2019-09-15,19,False
2019-09-22,37,False
2019-09-29,19,False
2019-10-06,18,False
2019-10-13,18,False
2019-10-20,36,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,45,False
2019-11-17,36,False
2019-11-24,35,False
2019-12-01,18,False
2019-12-08,27,False
2019-12-15,19,False
2019-12-22,21,False
2019-12-29,20,False
2020-01-05,52,False
2020-01-12,34,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,25,False
2020-02-09,49,False
2020-02-16,26,False
2020-02-23,51,False
2020-03-01,25,False
2020-03-08,24,False
2020-03-15,31,False
2020-03-22,23,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,16,False
2020-05-03,16,False
2020-05-10,0,False
