date,matrimonio in chiesa,matrimonio simbolico,matrimonio civile,isPartial
2018-01-07,43,0,28,False
2018-01-14,14,0,29,False
2018-01-21,0,0,43,False
2018-01-28,14,0,29,False
2018-02-04,14,0,14,False
2018-02-11,0,0,15,False
2018-02-18,0,0,29,False
2018-02-25,15,0,15,False
2018-03-04,0,0,15,False
2018-03-11,15,0,15,False
2018-03-18,15,0,15,False
2018-03-25,16,0,17,False
2018-04-01,17,0,100,False
2018-04-08,30,0,23,False
2018-04-15,30,0,0,False
2018-04-22,24,0,16,False
2018-04-29,15,0,39,False
2018-05-06,0,0,23,False
2018-05-13,15,0,30,False
2018-05-20,23,0,70,False
2018-05-27,16,0,16,False
2018-06-03,0,0,31,False
2018-06-10,14,0,50,False
2018-06-17,15,0,37,False
2018-06-24,15,0,52,False
2018-07-01,31,0,15,False
2018-07-08,15,0,23,False
2018-07-15,0,0,62,False
2018-07-22,15,0,15,False
2018-07-29,15,0,15,False
2018-08-05,14,0,36,False
2018-08-12,15,0,29,False
2018-08-19,0,0,54,False
2018-08-26,22,0,22,False
2018-09-02,15,0,36,False
2018-09-09,0,0,15,False
2018-09-16,14,0,14,False
2018-09-23,14,0,29,False
2018-09-30,14,0,14,False
2018-10-07,0,0,22,False
2018-10-14,0,0,23,False
2018-10-21,0,0,23,False
2018-10-28,15,0,22,False
2018-11-04,15,0,0,False
2018-11-11,32,0,16,False
2018-11-18,0,0,15,False
2018-11-25,0,0,30,False
2018-12-02,0,0,16,False
2018-12-09,16,0,24,False
2018-12-16,33,0,17,False
2018-12-23,17,0,52,False
2018-12-30,0,0,31,False
2019-01-06,15,0,30,False
2019-01-13,0,0,22,False
2019-01-20,0,0,49,False
2019-01-27,0,0,29,False
2019-02-03,14,0,49,False
2019-02-10,14,0,14,False
2019-02-17,22,0,43,False
2019-02-24,0,0,22,False
2019-03-03,15,0,38,False
2019-03-10,14,0,36,False
2019-03-17,22,0,65,False
2019-03-24,0,0,36,False
2019-03-31,14,0,43,False
2019-04-07,15,0,22,False
2019-04-14,15,0,30,False
2019-04-21,16,0,31,False
2019-04-28,15,0,22,False
2019-05-05,15,0,29,False
2019-05-12,14,0,42,False
2019-05-19,14,0,14,False
2019-05-26,27,0,55,False
2019-06-02,44,0,51,False
2019-06-09,0,0,23,False
2019-06-16,31,0,31,False
2019-06-23,15,0,15,False
2019-06-30,0,0,46,False
2019-07-07,0,0,38,False
2019-07-14,15,0,29,False
2019-07-21,0,0,23,False
2019-07-28,0,0,22,False
2019-08-04,14,0,15,False
2019-08-11,22,0,30,False
2019-08-18,0,0,41,False
2019-08-25,0,0,27,False
2019-09-01,13,0,13,False
2019-09-08,14,0,42,False
2019-09-15,14,0,42,False
2019-09-22,14,0,14,False
2019-09-29,28,0,14,False
2019-10-06,0,0,14,False
2019-10-13,0,0,37,False
2019-10-20,14,0,14,False
2019-10-27,14,0,14,False
2019-11-03,0,0,21,False
2019-11-10,0,0,0,False
2019-11-17,14,0,29,False
2019-11-24,0,0,42,False
2019-12-01,0,0,15,False
2019-12-08,0,0,15,False
2019-12-15,15,0,15,False
2019-12-22,16,0,24,False
2019-12-29,31,0,38,False
2020-01-05,0,0,21,False
2020-01-12,14,0,14,False
2020-01-19,0,0,21,False
2020-01-26,21,0,21,False
2020-02-02,0,0,33,False
2020-02-09,14,0,14,False
2020-02-16,28,0,0,False
2020-02-23,13,0,40,False
2020-03-01,13,0,32,False
2020-03-08,0,0,24,False
2020-03-15,0,0,12,False
2020-03-22,11,0,11,False
2020-03-29,0,0,22,False
2020-04-05,0,0,0,False
2020-04-12,12,0,12,False
2020-04-19,11,0,16,False
2020-04-26,0,0,0,False
2020-05-03,14,0,27,True
