date,matrimonio in chiesa,matrimonio simbolico,matrimonio civile,isPartial
2018-01-07,21,0,61,False
2018-01-14,0,0,41,False
2018-01-21,31,0,21,False
2018-01-28,0,0,0,False
2018-02-04,40,0,40,False
2018-02-11,0,0,31,False
2018-02-18,0,0,53,False
2018-02-25,0,0,21,False
2018-03-04,21,0,53,False
2018-03-11,21,0,21,False
2018-03-18,22,0,65,False
2018-03-25,0,0,44,False
2018-04-01,0,0,23,False
2018-04-08,22,0,65,False
2018-04-15,0,0,0,False
2018-04-22,47,0,35,False
2018-04-29,0,0,67,False
2018-05-06,22,0,66,False
2018-05-13,54,0,33,False
2018-05-20,33,0,44,False
2018-05-27,22,0,55,False
2018-06-03,22,0,43,False
2018-06-10,21,0,42,False
2018-06-17,66,0,33,False
2018-06-24,0,0,33,False
2018-07-01,0,0,65,False
2018-07-08,22,0,64,False
2018-07-15,0,0,44,False
2018-07-22,0,0,44,False
2018-07-29,22,0,22,False
2018-08-05,0,0,22,False
2018-08-12,0,0,74,False
2018-08-19,0,0,78,False
2018-08-26,0,0,73,False
2018-09-02,0,0,84,False
2018-09-09,21,0,86,False
2018-09-16,42,0,64,False
2018-09-23,22,0,44,False
2018-09-30,0,0,22,False
2018-10-07,0,0,0,False
2018-10-14,0,0,45,False
2018-10-21,0,0,22,False
2018-10-28,0,0,21,False
2018-11-04,0,0,21,False
2018-11-11,0,0,44,False
2018-11-18,0,0,21,False
2018-11-25,22,0,22,False
2018-12-02,0,0,46,False
2018-12-09,23,0,23,False
2018-12-16,0,0,24,False
2018-12-23,0,0,26,False
2018-12-30,0,0,23,False
2019-01-06,64,0,21,False
2019-01-13,0,0,42,False
2019-01-20,0,0,61,False
2019-01-27,0,0,20,False
2019-02-03,0,0,20,False
2019-02-10,20,0,0,False
2019-02-17,0,0,41,False
2019-02-24,0,0,41,False
2019-03-03,21,0,53,False
2019-03-10,0,0,62,False
2019-03-17,21,0,42,False
2019-03-24,0,0,65,False
2019-03-31,0,0,21,False
2019-04-07,0,0,42,False
2019-04-14,0,0,43,False
2019-04-21,43,0,44,False
2019-04-28,0,0,61,False
2019-05-05,19,0,40,False
2019-05-12,20,0,59,False
2019-05-19,78,0,59,False
2019-05-26,19,0,48,False
2019-06-02,21,0,41,False
2019-06-09,31,0,21,False
2019-06-16,0,0,41,False
2019-06-23,21,0,53,False
2019-06-30,0,0,21,False
2019-07-07,0,0,32,False
2019-07-14,22,0,22,False
2019-07-21,0,0,55,False
2019-07-28,22,0,54,False
2019-08-04,23,0,92,False
2019-08-11,25,0,49,False
2019-08-18,0,0,22,False
2019-08-25,20,0,100,False
2019-09-01,0,0,0,False
2019-09-08,0,0,73,False
2019-09-15,20,0,31,False
2019-09-22,20,0,61,False
2019-09-29,0,0,20,False
2019-10-06,30,0,40,False
2019-10-13,20,0,30,False
2019-10-20,0,0,39,False
2019-10-27,0,0,19,False
2019-11-03,19,0,19,False
2019-11-10,0,0,48,False
2019-11-17,0,0,38,False
2019-11-24,0,0,47,False
2019-12-01,0,0,40,False
2019-12-08,0,0,20,False
2019-12-15,0,0,20,False
2019-12-22,0,0,0,False
2019-12-29,0,0,32,False
2020-01-05,0,0,39,False
2020-01-12,18,0,18,False
2020-01-19,19,0,18,False
2020-01-26,0,0,27,False
2020-02-02,18,0,36,False
2020-02-09,0,0,47,False
2020-02-16,0,0,28,False
2020-02-23,18,0,44,False
2020-03-01,0,0,25,False
2020-03-08,33,0,16,False
2020-03-15,0,0,33,False
2020-03-22,0,0,0,False
2020-03-29,0,0,16,False
2020-04-05,17,0,25,False
2020-04-12,17,0,34,False
2020-04-19,0,0,32,False
2020-04-26,0,0,16,False
2020-05-03,0,0,32,True
