date,boda civil,boda religiosa,isPartial
2018-01-07,25,0,False
2018-01-14,38,0,False
2018-01-21,25,0,False
2018-01-28,39,0,False
2018-02-04,26,0,False
2018-02-11,26,0,False
2018-02-18,52,0,False
2018-02-25,0,0,False
2018-03-04,0,0,False
2018-03-11,0,25,False
2018-03-18,0,0,False
2018-03-25,27,0,False
2018-04-01,49,0,False
2018-04-08,73,0,False
2018-04-15,25,0,False
2018-04-22,25,25,False
2018-04-29,25,25,False
2018-05-06,0,0,False
2018-05-13,26,0,False
2018-05-20,75,25,False
2018-05-27,25,0,False
2018-06-03,24,0,False
2018-06-10,47,0,False
2018-06-17,0,27,False
2018-06-24,25,0,False
2018-07-01,25,0,False
2018-07-08,49,0,False
2018-07-15,37,0,False
2018-07-22,77,26,False
2018-07-29,25,0,False
2018-08-05,24,0,False
2018-08-12,24,24,False
2018-08-19,25,0,False
2018-08-26,74,0,False
2018-09-02,37,0,False
2018-09-09,25,26,False
2018-09-16,100,0,False
2018-09-23,24,0,False
2018-09-30,37,0,False
2018-10-07,0,0,False
2018-10-14,25,0,False
2018-10-21,50,0,False
2018-10-28,0,0,False
2018-11-04,0,0,False
2018-11-11,25,25,False
2018-11-18,47,0,False
2018-11-25,25,0,False
2018-12-02,26,26,False
2018-12-09,37,0,False
2018-12-16,25,0,False
2018-12-23,0,0,False
2018-12-30,28,0,False
2019-01-06,25,0,False
2019-01-13,73,24,False
2019-01-20,23,0,False
2019-01-27,47,23,False
2019-02-03,49,0,False
2019-02-10,50,0,False
2019-02-17,0,24,False
2019-02-24,24,0,False
2019-03-03,25,0,False
2019-03-10,50,0,False
2019-03-17,39,0,False
2019-03-24,50,0,False
2019-03-31,36,0,False
2019-04-07,24,0,False
2019-04-14,51,0,False
2019-04-21,47,0,False
2019-04-28,36,0,False
2019-05-05,24,0,False
2019-05-12,24,24,False
2019-05-19,24,24,False
2019-05-26,47,23,False
2019-06-02,34,0,False
2019-06-09,23,0,False
2019-06-16,23,0,False
2019-06-23,36,0,False
2019-06-30,0,24,False
2019-07-07,48,0,False
2019-07-14,61,0,False
2019-07-21,36,0,False
2019-07-28,36,0,False
2019-08-04,22,0,False
2019-08-11,34,0,False
2019-08-18,34,23,False
2019-08-25,34,0,False
2019-09-01,23,0,False
2019-09-08,47,0,False
2019-09-15,56,0,False
2019-09-22,46,0,False
2019-09-29,22,0,False
2019-10-06,0,0,False
2019-10-13,65,0,False
2019-10-20,22,0,False
2019-10-27,86,22,False
2019-11-03,33,0,False
2019-11-10,22,22,False
2019-11-17,22,22,False
2019-11-24,63,21,False
2019-12-01,0,23,False
2019-12-08,45,0,False
2019-12-15,32,0,False
2019-12-22,59,24,False
2019-12-29,24,0,False
2020-01-05,44,0,False
2020-01-12,81,0,False
2020-01-19,43,0,False
2020-01-26,20,0,False
2020-02-02,0,0,False
2020-02-09,41,0,False
2020-02-16,21,21,False
2020-02-23,32,21,False
2020-03-01,20,20,False
2020-03-08,20,0,False
2020-03-15,0,0,False
2020-03-22,18,0,False
2020-03-29,18,0,False
2020-04-05,19,19,False
2020-04-12,0,0,False
2020-04-19,0,0,False
2020-04-26,20,0,False
