date,standesamtliche Hochzeit,Heiraten kirchlich,isPartial
2018-01-07,30,30,False
2018-01-14,0,61,False
2018-01-21,30,30,False
2018-01-28,30,0,False
2018-02-04,30,0,False
2018-02-11,31,31,False
2018-02-18,93,0,False
2018-02-25,31,0,False
2018-03-04,31,0,False
2018-03-11,0,30,False
2018-03-18,31,0,False
2018-03-25,0,33,False
2018-04-01,34,34,False
2018-04-08,0,48,False
2018-04-15,0,0,False
2018-04-22,0,32,False
2018-04-29,33,0,False
2018-05-06,0,32,False
2018-05-13,32,31,False
2018-05-20,33,0,False
2018-05-27,32,0,False
2018-06-03,0,0,False
2018-06-10,32,0,False
2018-06-17,32,0,False
2018-06-24,34,34,False
2018-07-01,0,34,False
2018-07-08,0,0,False
2018-07-15,68,68,False
2018-07-22,51,0,False
2018-07-29,66,98,False
2018-08-05,32,32,False
2018-08-12,0,0,False
2018-08-19,32,32,False
2018-08-26,31,31,False
2018-09-02,0,31,False
2018-09-09,0,0,False
2018-09-16,32,0,False
2018-09-23,32,32,False
2018-09-30,34,34,False
2018-10-07,32,64,False
2018-10-14,0,63,False
2018-10-21,0,31,False
2018-10-28,0,0,False
2018-11-04,30,0,False
2018-11-11,31,0,False
2018-11-18,31,0,False
2018-11-25,0,33,False
2018-12-02,96,32,False
2018-12-09,33,49,False
2018-12-16,0,33,False
2018-12-23,38,38,False
2018-12-30,0,0,False
2019-01-06,31,31,False
2019-01-13,0,31,False
2019-01-20,60,0,False
2019-01-27,0,0,False
2019-02-03,0,0,False
2019-02-10,61,31,False
2019-02-17,0,0,False
2019-02-24,0,0,False
2019-03-03,46,30,False
2019-03-10,30,0,False
2019-03-17,47,0,False
2019-03-24,31,0,False
2019-03-31,31,31,False
2019-04-07,0,0,False
2019-04-14,0,0,False
2019-04-21,0,32,False
2019-04-28,0,0,False
2019-05-05,0,30,False
2019-05-12,0,0,False
2019-05-19,30,0,False
2019-05-26,0,32,False
2019-06-02,30,0,False
2019-06-09,31,31,False
2019-06-16,32,32,False
2019-06-23,32,64,False
2019-06-30,0,0,False
2019-07-07,32,31,False
2019-07-14,49,0,False
2019-07-21,0,0,False
2019-07-28,34,34,False
2019-08-04,0,0,False
2019-08-11,60,60,False
2019-08-18,60,30,False
2019-08-25,61,61,False
2019-09-01,30,30,False
2019-09-08,30,46,False
2019-09-15,32,0,False
2019-09-22,0,31,False
2019-09-29,32,0,False
2019-10-06,30,30,False
2019-10-13,29,0,False
2019-10-20,29,0,False
2019-10-27,0,0,False
2019-11-03,28,0,False
2019-11-10,0,0,False
2019-11-17,58,0,False
2019-11-24,28,0,False
2019-12-01,0,29,False
2019-12-08,100,28,False
2019-12-15,0,29,False
2019-12-22,0,35,False
2019-12-29,32,0,False
2020-01-05,0,29,False
2020-01-12,55,0,False
2020-01-19,0,28,False
2020-01-26,27,0,False
2020-02-02,27,41,False
2020-02-09,27,27,False
2020-02-16,28,28,False
2020-02-23,27,0,False
2020-03-01,27,27,False
2020-03-08,0,25,False
2020-03-15,0,0,False
2020-03-22,0,0,False
2020-03-29,38,0,False
2020-04-05,28,0,False
2020-04-12,0,0,False
2020-04-19,26,26,False
2020-04-26,51,26,False
2020-05-03,0,0,True
