date,matrimonio in chiesa,matrimonio simbolico,matrimonio civile,isPartial
2018-01-07,0,0,36,False
2018-01-14,29,0,50,False
2018-01-21,28,0,49,False
2018-01-28,28,0,21,False
2018-02-04,14,0,21,False
2018-02-11,40,0,47,False
2018-02-18,13,0,38,False
2018-02-25,0,0,25,False
2018-03-04,13,0,50,False
2018-03-11,13,0,32,False
2018-03-18,26,0,58,False
2018-03-25,48,0,82,False
2018-04-01,29,0,36,False
2018-04-08,26,0,32,False
2018-04-15,0,0,52,False
2018-04-22,14,0,41,False
2018-04-29,13,0,53,False
2018-05-06,25,0,32,False
2018-05-13,13,0,32,False
2018-05-20,13,0,96,False
2018-05-27,13,0,78,False
2018-06-03,27,0,40,False
2018-06-10,19,0,51,False
2018-06-17,19,0,100,False
2018-06-24,13,0,54,False
2018-07-01,13,0,73,False
2018-07-08,13,0,20,False
2018-07-15,0,0,61,False
2018-07-22,13,0,61,False
2018-07-29,14,0,62,False
2018-08-05,29,0,22,False
2018-08-12,34,0,43,False
2018-08-19,18,0,63,False
2018-08-26,15,0,46,False
2018-09-02,39,0,65,False
2018-09-09,26,0,57,False
2018-09-16,18,0,62,False
2018-09-23,13,0,31,False
2018-09-30,13,0,25,False
2018-10-07,13,0,58,False
2018-10-14,0,0,45,False
2018-10-21,0,0,25,False
2018-10-28,19,0,50,False
2018-11-04,0,0,54,False
2018-11-11,0,0,62,False
2018-11-18,13,0,31,False
2018-11-25,13,0,26,False
2018-12-02,12,0,35,False
2018-12-09,13,0,33,False
2018-12-16,14,0,14,False
2018-12-23,34,0,25,False
2018-12-30,15,0,22,False
2019-01-06,14,0,72,False
2019-01-13,14,0,41,False
2019-01-20,20,0,86,False
2019-01-27,0,0,36,False
2019-02-03,14,0,55,False
2019-02-10,14,0,34,False
2019-02-17,0,0,56,False
2019-02-24,31,0,68,False
2019-03-03,0,0,36,False
2019-03-10,0,0,43,False
2019-03-17,29,0,29,False
2019-03-24,14,0,64,False
2019-03-31,21,0,35,False
2019-04-07,20,0,40,False
2019-04-14,0,0,34,False
2019-04-21,16,0,16,False
2019-04-28,27,0,34,False
2019-05-05,38,0,63,False
2019-05-12,13,0,61,False
2019-05-19,14,0,34,False
2019-05-26,13,0,66,False
2019-06-02,0,0,76,False
2019-06-09,14,0,68,False
2019-06-16,29,0,95,False
2019-06-23,15,0,44,False
2019-06-30,23,0,68,False
2019-07-07,27,0,27,False
2019-07-14,15,0,38,False
2019-07-21,15,0,59,False
2019-07-28,16,0,88,False
2019-08-04,26,0,77,False
2019-08-11,18,0,37,False
2019-08-18,35,0,52,False
2019-08-25,31,0,61,False
2019-09-01,13,0,33,False
2019-09-08,0,0,77,False
2019-09-15,13,0,67,False
2019-09-22,26,0,26,False
2019-09-29,0,0,41,False
2019-10-06,20,0,41,False
2019-10-13,28,0,14,False
2019-10-20,0,0,54,False
2019-10-27,13,0,55,False
2019-11-03,13,0,32,False
2019-11-10,0,0,33,False
2019-11-17,13,0,40,False
2019-11-24,13,0,27,False
2019-12-01,14,0,48,False
2019-12-08,20,0,20,False
2019-12-15,14,0,56,False
2019-12-22,17,0,17,False
2019-12-29,48,0,40,False
2020-01-05,0,0,27,False
2020-01-12,13,0,31,False
2020-01-19,26,0,26,False
2020-01-26,0,0,51,False
2020-02-02,0,0,19,False
2020-02-09,19,0,58,False
2020-02-16,13,0,39,False
2020-02-23,0,0,12,False
2020-03-01,12,0,37,False
2020-03-08,12,0,48,False
2020-03-15,12,0,30,False
2020-03-22,11,0,11,False
2020-03-29,12,0,47,False
2020-04-05,12,0,24,False
2020-04-12,12,0,43,False
2020-04-19,0,0,23,False
2020-04-26,12,0,24,False
2020-05-03,0,0,30,True
