date,matrimonio in chiesa,matrimonio simbolico,matrimonio civile,isPartial
2018-01-07,21,0,51,False
2018-01-14,10,10,86,False
2018-01-21,20,0,100,False
2018-01-28,25,0,55,False
2018-02-04,10,0,54,False
2018-02-11,15,10,50,False
2018-02-18,15,0,44,False
2018-02-25,0,0,33,False
2018-03-04,9,0,56,False
2018-03-11,24,0,52,False
2018-03-18,19,0,34,False
2018-03-25,30,0,50,False
2018-04-01,26,0,58,False
2018-04-08,29,0,71,False
2018-04-15,20,0,44,False
2018-04-22,31,0,82,False
2018-04-29,20,0,70,False
2018-05-06,19,0,43,False
2018-05-13,53,0,53,False
2018-05-20,14,0,91,False
2018-05-27,29,0,34,False
2018-06-03,20,0,79,False
2018-06-10,10,10,92,False
2018-06-17,30,0,80,False
2018-06-24,20,20,75,False
2018-07-01,25,0,89,False
2018-07-08,10,0,65,False
2018-07-15,10,0,41,False
2018-07-22,10,10,52,False
2018-07-29,11,0,32,False
2018-08-05,0,23,35,False
2018-08-12,0,0,20,False
2018-08-19,65,13,65,False
2018-08-26,11,0,74,False
2018-09-02,24,10,62,False
2018-09-09,19,0,19,False
2018-09-16,9,0,50,False
2018-09-23,14,0,47,False
2018-09-30,19,9,70,False
2018-10-07,19,0,61,False
2018-10-14,19,0,57,False
2018-10-21,19,0,70,False
2018-10-28,14,0,33,False
2018-11-04,18,0,40,False
2018-11-11,14,0,69,False
2018-11-18,9,0,27,False
2018-11-25,9,0,33,False
2018-12-02,9,0,28,False
2018-12-09,0,0,33,False
2018-12-16,0,0,34,False
2018-12-23,11,0,34,False
2018-12-30,0,0,55,False
2019-01-06,28,9,62,False
2019-01-13,27,18,72,False
2019-01-20,27,9,64,False
2019-01-27,9,18,63,False
2019-02-03,9,0,50,False
2019-02-10,9,0,32,False
2019-02-17,18,9,79,False
2019-02-24,0,9,57,False
2019-03-03,14,0,62,False
2019-03-10,19,9,57,False
2019-03-17,0,0,38,False
2019-03-24,10,10,73,False
2019-03-31,38,0,68,False
2019-04-07,19,0,66,False
2019-04-14,0,0,30,False
2019-04-21,11,0,27,False
2019-04-28,20,10,79,False
2019-05-05,14,0,94,False
2019-05-12,19,0,56,False
2019-05-19,27,0,68,False
2019-05-26,32,0,50,False
2019-06-02,10,10,82,False
2019-06-09,10,0,77,False
2019-06-16,14,0,91,False
2019-06-23,15,0,30,False
2019-06-30,20,0,78,False
2019-07-07,9,0,43,False
2019-07-14,15,0,50,False
2019-07-21,26,0,31,False
2019-07-28,16,11,48,False
2019-08-04,11,0,58,False
2019-08-11,13,13,38,False
2019-08-18,12,0,54,False
2019-08-25,10,0,89,False
2019-09-01,9,0,99,False
2019-09-08,9,0,74,False
2019-09-15,13,9,85,False
2019-09-22,13,9,75,False
2019-09-29,44,9,71,False
2019-10-06,18,0,77,False
2019-10-13,9,9,76,False
2019-10-20,17,0,38,False
2019-10-27,9,0,61,False
2019-11-03,0,0,25,False
2019-11-10,8,0,47,False
2019-11-17,13,0,50,False
2019-11-24,8,0,29,False
2019-12-01,13,9,35,False
2019-12-08,22,0,53,False
2019-12-15,0,0,54,False
2019-12-22,16,0,21,False
2019-12-29,10,0,62,False
2020-01-05,0,0,35,False
2020-01-12,8,8,56,False
2020-01-19,25,8,46,False
2020-01-26,24,0,37,False
2020-02-02,24,0,44,False
2020-02-09,33,8,41,False
2020-02-16,16,0,45,False
2020-02-23,8,0,81,False
2020-03-01,0,0,43,False
2020-03-08,11,0,15,False
2020-03-15,8,0,35,False
2020-03-22,7,0,22,False
2020-03-29,15,8,23,False
2020-04-05,8,0,20,False
2020-04-12,0,0,24,False
2020-04-19,8,0,27,False
2020-04-26,23,0,46,False
2020-05-03,10,0,34,True
