date,standesamtliche Hochzeit,Heiraten kirchlich,isPartial
2018-01-07,45,0,False
2018-01-14,0,0,False
2018-01-21,0,22,False
2018-01-28,0,22,False
2018-02-04,0,23,False
2018-02-11,23,23,False
2018-02-18,23,23,False
2018-02-25,0,0,False
2018-03-04,22,22,False
2018-03-11,22,22,False
2018-03-18,35,23,False
2018-03-25,23,24,False
2018-04-01,47,23,False
2018-04-08,23,23,False
2018-04-15,23,23,False
2018-04-22,0,22,False
2018-04-29,46,46,False
2018-05-06,24,0,False
2018-05-13,34,34,False
2018-05-20,0,0,False
2018-05-27,33,22,False
2018-06-03,68,23,False
2018-06-10,43,0,False
2018-06-17,22,22,False
2018-06-24,0,0,False
2018-07-01,0,0,False
2018-07-08,0,23,False
2018-07-15,25,0,False
2018-07-22,0,0,False
2018-07-29,34,23,False
2018-08-05,21,21,False
2018-08-12,32,21,False
2018-08-19,21,42,False
2018-08-26,44,22,False
2018-09-02,22,22,False
2018-09-09,22,22,False
2018-09-16,67,45,False
2018-09-23,23,23,False
2018-09-30,35,24,False
2018-10-07,0,35,False
2018-10-14,67,0,False
2018-10-21,22,22,False
2018-10-28,44,22,False
2018-11-04,21,0,False
2018-11-11,0,44,False
2018-11-18,0,0,False
2018-11-25,22,0,False
2018-12-02,22,0,False
2018-12-09,22,0,False
2018-12-16,0,23,False
2018-12-23,50,25,False
2018-12-30,23,0,False
2019-01-06,31,21,False
2019-01-13,41,41,False
2019-01-20,0,21,False
2019-01-27,0,21,False
2019-02-03,21,0,False
2019-02-10,43,0,False
2019-02-17,32,21,False
2019-02-24,0,22,False
2019-03-03,0,0,False
2019-03-10,21,0,False
2019-03-17,0,43,False
2019-03-24,22,0,False
2019-03-31,0,22,False
2019-04-07,23,0,False
2019-04-14,0,0,False
2019-04-21,45,22,False
2019-04-28,0,21,False
2019-05-05,21,0,False
2019-05-12,54,0,False
2019-05-19,21,21,False
2019-05-26,32,0,False
2019-06-02,0,21,False
2019-06-09,21,21,False
2019-06-16,0,21,False
2019-06-23,22,0,False
2019-06-30,32,21,False
2019-07-07,22,0,False
2019-07-14,0,23,False
2019-07-21,23,23,False
2019-07-28,90,22,False
2019-08-04,22,22,False
2019-08-11,20,0,False
2019-08-18,21,0,False
2019-08-25,20,20,False
2019-09-01,20,0,False
2019-09-08,20,0,False
2019-09-15,21,42,False
2019-09-22,20,21,False
2019-09-29,62,0,False
2019-10-06,31,0,False
2019-10-13,41,0,False
2019-10-20,30,0,False
2019-10-27,30,20,False
2019-11-03,19,19,False
2019-11-10,19,20,False
2019-11-17,20,20,False
2019-11-24,38,0,False
2019-12-01,19,19,False
2019-12-08,19,0,False
2019-12-15,100,20,False
2019-12-22,0,32,False
2019-12-29,20,20,False
2020-01-05,37,0,False
2020-01-12,18,0,False
2020-01-19,28,19,False
2020-01-26,19,19,False
2020-02-02,56,0,False
2020-02-09,0,0,False
2020-02-16,57,0,False
2020-02-23,19,19,False
2020-03-01,19,0,False
2020-03-08,0,35,False
2020-03-15,0,26,False
2020-03-22,17,0,False
2020-03-29,0,17,False
2020-04-05,38,19,False
2020-04-12,18,0,False
2020-04-19,0,17,False
2020-04-26,17,17,False
2020-05-03,0,0,True
