date,mariage civil ,mariage symbolique ,mariage laique,mariage religieux ,isPartial
2018-01-07,0,0,0,0,False
2018-01-14,37,0,18,0,False
2018-01-21,37,0,0,0,False
2018-01-28,28,0,0,0,False
2018-02-04,27,0,0,18,False
2018-02-11,19,0,19,19,False
2018-02-18,38,0,0,19,False
2018-02-25,38,0,19,19,False
2018-03-04,19,0,19,19,False
2018-03-11,19,0,38,76,False
2018-03-18,58,0,19,19,False
2018-03-25,0,0,19,0,False
2018-04-01,48,0,19,19,False
2018-04-08,19,0,19,0,False
2018-04-15,30,0,20,0,False
2018-04-22,28,0,0,0,False
2018-04-29,40,0,0,20,False
2018-05-06,21,0,21,21,False
2018-05-13,59,0,19,19,False
2018-05-20,39,0,59,0,False
2018-05-27,0,0,19,19,False
2018-06-03,37,0,19,19,False
2018-06-10,18,0,54,0,False
2018-06-17,57,0,38,0,False
2018-06-24,19,0,0,19,False
2018-07-01,0,0,0,0,False
2018-07-08,19,0,19,0,False
2018-07-15,41,0,0,21,False
2018-07-22,31,0,0,20,False
2018-07-29,20,0,31,0,False
2018-08-05,42,0,0,21,False
2018-08-12,63,0,0,21,False
2018-08-19,41,0,20,0,False
2018-08-26,20,0,20,20,False
2018-09-02,20,0,20,0,False
2018-09-09,100,0,20,0,False
2018-09-16,58,0,29,19,False
2018-09-23,20,0,20,0,False
2018-09-30,39,0,0,20,False
2018-10-07,20,0,59,39,False
2018-10-14,30,0,0,0,False
2018-10-21,20,0,0,0,False
2018-10-28,20,0,20,0,False
2018-11-04,19,0,0,0,False
2018-11-11,0,0,0,0,False
2018-11-18,18,0,0,0,False
2018-11-25,53,0,18,0,False
2018-12-02,18,0,0,0,False
2018-12-09,0,0,0,0,False
2018-12-16,18,0,0,18,False
2018-12-23,21,0,0,21,False
2018-12-30,29,0,0,0,False
2019-01-06,0,0,0,0,False
2019-01-13,36,0,18,0,False
2019-01-20,18,0,18,0,False
2019-01-27,70,0,18,0,False
2019-02-03,45,0,0,0,False
2019-02-10,38,0,19,0,False
2019-02-17,48,0,19,0,False
2019-02-24,36,0,18,0,False
2019-03-03,0,0,18,0,False
2019-03-10,18,0,36,0,False
2019-03-17,47,0,0,19,False
2019-03-24,19,0,0,0,False
2019-03-31,19,0,19,19,False
2019-04-07,0,0,20,20,False
2019-04-14,20,0,40,0,False
2019-04-21,19,0,38,19,False
2019-04-28,37,0,18,0,False
2019-05-05,18,0,37,0,False
2019-05-12,38,0,19,0,False
2019-05-19,37,0,19,19,False
2019-05-26,19,0,19,29,False
2019-06-02,17,0,17,17,False
2019-06-09,27,0,55,0,False
2019-06-16,0,0,0,19,False
2019-06-23,18,0,18,0,False
2019-06-30,37,0,0,75,False
2019-07-07,18,0,0,37,False
2019-07-14,19,0,19,0,False
2019-07-21,19,0,19,19,False
2019-07-28,20,0,0,0,False
2019-08-04,0,0,0,19,False
2019-08-11,37,0,28,0,False
2019-08-18,39,0,19,0,False
2019-08-25,36,0,36,18,False
2019-09-01,18,0,18,18,False
2019-09-08,0,0,37,0,False
2019-09-15,0,0,0,27,False
2019-09-22,17,0,34,0,False
2019-09-29,17,0,0,0,False
2019-10-06,34,0,0,17,False
2019-10-13,34,0,0,0,False
2019-10-20,34,0,34,17,False
2019-10-27,17,0,17,0,False
2019-11-03,16,0,16,49,False
2019-11-10,0,0,17,0,False
2019-11-17,33,0,17,0,False
2019-11-24,32,0,0,0,False
2019-12-01,33,0,0,0,False
2019-12-08,0,0,0,0,False
2019-12-15,33,0,0,0,False
2019-12-22,0,0,37,18,False
2019-12-29,27,0,0,18,False
2020-01-05,32,0,0,0,False
2020-01-12,16,0,16,16,False
2020-01-19,25,0,33,17,False
2020-01-26,40,0,16,0,False
2020-02-02,16,0,16,0,False
2020-02-09,55,0,16,16,False
2020-02-16,24,0,33,0,False
2020-02-23,32,0,16,0,False
2020-03-01,15,0,0,0,False
2020-03-08,15,0,0,0,False
2020-03-15,14,0,0,14,False
2020-03-22,13,0,13,13,False
2020-03-29,13,0,13,0,False
2020-04-05,33,0,0,13,False
2020-04-12,20,0,14,14,False
2020-04-19,20,0,13,0,False
2020-04-26,25,0,12,12,False
2020-05-03,0,0,0,0,True
