date,boda civil,boda religiosa,isPartial
2018-01-07,0,0,False
2018-01-14,27,0,False
2018-01-21,0,0,False
2018-01-28,26,0,False
2018-02-04,0,0,False
2018-02-11,56,0,False
2018-02-18,0,0,False
2018-02-25,36,0,False
2018-03-04,27,0,False
2018-03-11,40,0,False
2018-03-18,28,0,False
2018-03-25,0,0,False
2018-04-01,40,0,False
2018-04-08,26,0,False
2018-04-15,0,0,False
2018-04-22,0,0,False
2018-04-29,26,0,False
2018-05-06,25,0,False
2018-05-13,25,0,False
2018-05-20,63,0,False
2018-05-27,25,0,False
2018-06-03,100,0,False
2018-06-10,0,0,False
2018-06-17,25,0,False
2018-06-24,0,0,False
2018-07-01,24,0,False
2018-07-08,0,0,False
2018-07-15,37,0,False
2018-07-22,25,0,False
2018-07-29,24,0,False
2018-08-05,49,0,False
2018-08-12,77,0,False
2018-08-19,28,0,False
2018-08-26,27,0,False
2018-09-02,25,0,False
2018-09-09,0,0,False
2018-09-16,37,0,False
2018-09-23,49,0,False
2018-09-30,25,0,False
2018-10-07,25,0,False
2018-10-14,24,0,False
2018-10-21,0,0,False
2018-10-28,24,0,False
2018-11-04,0,0,False
2018-11-11,23,0,False
2018-11-18,24,0,False
2018-11-25,0,0,False
2018-12-02,0,0,False
2018-12-09,0,0,False
2018-12-16,0,0,False
2018-12-23,28,0,False
2018-12-30,55,0,False
2019-01-06,25,0,False
2019-01-13,23,0,False
2019-01-20,22,0,False
2019-01-27,35,0,False
2019-02-03,24,0,False
2019-02-10,69,0,False
2019-02-17,24,0,False
2019-02-24,0,0,False
2019-03-03,41,0,False
2019-03-10,0,0,False
2019-03-17,53,0,False
2019-03-24,25,0,False
2019-03-31,26,0,False
2019-04-07,53,0,False
2019-04-14,27,0,False
2019-04-21,0,0,False
2019-04-28,26,0,False
2019-05-05,27,0,False
2019-05-12,0,0,False
2019-05-19,79,0,False
2019-05-26,0,0,False
2019-06-02,0,0,False
2019-06-09,38,0,False
2019-06-16,80,0,False
2019-06-23,53,0,False
2019-06-30,26,0,False
2019-07-07,26,0,False
2019-07-14,26,0,False
2019-07-21,27,0,False
2019-07-28,0,0,False
2019-08-04,40,0,False
2019-08-11,0,0,False
2019-08-18,0,0,False
2019-08-25,26,0,False
2019-09-01,25,0,False
2019-09-08,26,0,False
2019-09-15,25,0,False
2019-09-22,49,0,False
2019-09-29,0,0,False
2019-10-06,0,0,False
2019-10-13,47,0,False
2019-10-20,0,0,False
2019-10-27,22,0,False
2019-11-03,22,0,False
2019-11-10,22,0,False
2019-11-17,33,0,False
2019-11-24,22,0,False
2019-12-01,22,0,False
2019-12-08,23,0,False
2019-12-15,23,0,False
2019-12-22,0,0,False
2019-12-29,23,0,False
2020-01-05,0,0,False
2020-01-12,31,0,False
2020-01-19,21,0,False
2020-01-26,21,0,False
2020-02-02,21,0,False
2020-02-09,21,0,False
2020-02-16,21,0,False
2020-02-23,21,0,False
2020-03-01,64,0,False
2020-03-08,0,0,False
2020-03-15,0,0,False
2020-03-22,21,0,False
2020-03-29,0,0,False
2020-04-05,22,0,False
2020-04-12,0,0,False
2020-04-19,0,0,False
2020-04-26,0,0,False
