date,mariage civil ,mariage symbolique ,mariage laique,mariage religieux ,isPartial
2018-01-07,0,0,0,0,False
2018-01-14,0,0,0,0,False
2018-01-21,61,0,0,0,False
2018-01-28,0,0,0,0,False
2018-02-04,100,0,0,0,False
2018-02-11,20,0,0,0,False
2018-02-18,0,0,0,21,False
2018-02-25,63,0,0,0,False
2018-03-04,0,0,0,0,False
2018-03-11,21,0,0,0,False
2018-03-18,41,0,0,0,False
2018-03-25,63,0,0,21,False
2018-04-01,22,0,22,22,False
2018-04-08,83,0,21,0,False
2018-04-15,0,0,0,23,False
2018-04-22,0,0,0,22,False
2018-04-29,0,0,0,0,False
2018-05-06,0,0,0,0,False
2018-05-13,0,0,0,21,False
2018-05-20,22,0,0,0,False
2018-05-27,42,0,0,21,False
2018-06-03,0,0,0,0,False
2018-06-10,0,0,0,20,False
2018-06-17,22,0,22,0,False
2018-06-24,0,0,22,0,False
2018-07-01,42,0,0,0,False
2018-07-08,0,0,0,22,False
2018-07-15,0,0,0,0,False
2018-07-22,46,0,0,0,False
2018-07-29,0,0,0,0,False
2018-08-05,46,0,0,23,False
2018-08-12,0,0,47,0,False
2018-08-19,46,0,23,0,False
2018-08-26,22,0,0,0,False
2018-09-02,0,0,0,0,False
2018-09-09,0,0,0,0,False
2018-09-16,22,0,0,0,False
2018-09-23,22,0,0,0,False
2018-09-30,0,0,0,0,False
2018-10-07,43,0,0,21,False
2018-10-14,0,0,0,0,False
2018-10-21,67,0,0,0,False
2018-10-28,0,0,0,0,False
2018-11-04,42,0,63,0,False
2018-11-11,43,0,0,0,False
2018-11-18,21,0,0,0,False
2018-11-25,21,0,0,0,False
2018-12-02,21,0,21,21,False
2018-12-09,21,0,0,0,False
2018-12-16,0,0,0,0,False
2018-12-23,25,0,0,0,False
2018-12-30,23,0,23,0,False
2019-01-06,21,0,21,0,False
2019-01-13,0,0,21,0,False
2019-01-20,0,0,0,0,False
2019-01-27,20,0,20,0,False
2019-02-03,41,0,0,0,False
2019-02-10,21,0,0,0,False
2019-02-17,43,0,0,0,False
2019-02-24,22,0,0,22,False
2019-03-03,0,0,0,0,False
2019-03-10,21,0,0,0,False
2019-03-17,65,0,0,0,False
2019-03-24,0,0,0,0,False
2019-03-31,0,0,0,0,False
2019-04-07,0,0,0,0,False
2019-04-14,19,0,0,0,False
2019-04-21,20,0,0,0,False
2019-04-28,0,0,0,22,False
2019-05-05,20,0,0,20,False
2019-05-12,20,0,0,20,False
2019-05-19,0,0,0,0,False
2019-05-26,21,0,0,0,False
2019-06-02,0,0,0,0,False
2019-06-09,19,0,0,0,False
2019-06-16,40,0,0,0,False
2019-06-23,20,0,0,20,False
2019-06-30,0,0,0,20,False
2019-07-07,20,0,0,0,False
2019-07-14,63,0,0,0,False
2019-07-21,61,0,0,0,False
2019-07-28,0,0,21,21,False
2019-08-04,0,0,0,0,False
2019-08-11,19,0,19,0,False
2019-08-18,19,0,0,0,False
2019-08-25,21,0,0,0,False
2019-09-01,0,0,0,20,False
2019-09-08,0,0,0,0,False
2019-09-15,19,0,0,19,False
2019-09-22,19,0,19,0,False
2019-09-29,0,0,0,0,False
2019-10-06,17,0,17,0,False
2019-10-13,0,0,0,0,False
2019-10-20,17,0,0,0,False
2019-10-27,18,0,0,18,False
2019-11-03,0,0,18,0,False
2019-11-10,35,0,0,0,False
2019-11-17,16,0,0,0,False
2019-11-24,32,0,0,0,False
2019-12-01,16,0,0,0,False
2019-12-08,0,0,16,0,False
2019-12-15,0,0,0,16,False
2019-12-22,36,0,0,0,False
2019-12-29,17,0,0,0,False
2020-01-05,16,0,16,0,False
2020-01-12,15,0,15,0,False
2020-01-19,31,0,0,0,False
2020-01-26,31,0,0,15,False
2020-02-02,32,0,0,16,False
2020-02-09,0,0,16,0,False
2020-02-16,0,0,0,0,False
2020-02-23,15,0,15,0,False
2020-03-01,0,0,0,0,False
2020-03-08,31,0,15,0,False
2020-03-15,14,0,0,0,False
2020-03-22,14,0,0,0,False
2020-03-29,27,0,0,0,False
2020-04-05,14,0,0,0,False
2020-04-12,0,0,0,0,False
2020-04-19,13,0,13,0,False
2020-04-26,13,0,0,0,False
2020-05-03,0,0,0,0,True
