date,personal trainer,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,27,False
2018-02-11,82,False
2018-02-18,27,False
2018-02-25,27,False
2018-03-04,54,False
2018-03-11,41,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,26,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,41,False
2018-05-20,27,False
2018-05-27,52,False
2018-06-03,0,False
2018-06-10,52,False
2018-06-17,42,False
2018-06-24,27,False
2018-07-01,41,False
2018-07-08,66,False
2018-07-15,81,False
2018-07-22,40,False
2018-07-29,27,False
2018-08-05,0,False
2018-08-12,39,False
2018-08-19,28,False
2018-08-26,81,False
2018-09-02,52,False
2018-09-09,51,False
2018-09-16,52,False
2018-09-23,26,False
2018-09-30,54,False
2018-10-07,42,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,28,False
2018-11-04,40,False
2018-11-11,26,False
2018-11-18,51,False
2018-11-25,28,False
2018-12-02,57,False
2018-12-09,28,False
2018-12-16,28,False
2018-12-23,63,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,40,False
2019-01-20,64,False
2019-01-27,26,False
2019-02-03,27,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,53,False
2019-03-03,54,False
2019-03-10,28,False
2019-03-17,57,False
2019-03-24,0,False
2019-03-31,25,False
2019-04-07,27,False
2019-04-14,37,False
2019-04-21,55,False
2019-04-28,0,False
2019-05-05,66,False
2019-05-12,26,False
2019-05-19,77,False
2019-05-26,25,False
2019-06-02,100,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,94,False
2019-06-30,26,False
2019-07-07,0,False
2019-07-14,52,False
2019-07-21,26,False
2019-07-28,52,False
2019-08-04,52,False
2019-08-11,26,False
2019-08-18,51,False
2019-08-25,38,False
2019-09-01,24,False
2019-09-08,47,False
2019-09-15,0,False
2019-09-22,25,False
2019-09-29,50,False
2019-10-06,74,False
2019-10-13,24,False
2019-10-20,72,False
2019-10-27,49,False
2019-11-03,0,False
2019-11-10,48,False
2019-11-17,95,False
2019-11-24,46,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,53,False
2020-01-05,24,False
2020-01-12,23,False
2020-01-19,0,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,55,False
2020-03-08,0,False
2020-03-15,21,False
2020-03-22,38,False
2020-03-29,19,False
2020-04-05,40,False
2020-04-12,30,False
2020-04-19,29,False
2020-04-26,59,False
2020-05-03,19,False
2020-05-10,38,False
2020-05-17,24,True
