date,cours particulier anglais,isPartial
2018-01-07,82,False
2018-01-14,59,False
2018-01-21,71,False
2018-01-28,35,False
2018-02-04,47,False
2018-02-11,23,False
2018-02-18,24,False
2018-02-25,47,False
2018-03-04,36,False
2018-03-11,24,False
2018-03-18,60,False
2018-03-25,24,False
2018-04-01,24,False
2018-04-08,24,False
2018-04-15,26,False
2018-04-22,37,False
2018-04-29,24,False
2018-05-06,25,False
2018-05-13,48,False
2018-05-20,25,False
2018-05-27,47,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,36,False
2018-06-24,48,False
2018-07-01,0,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,54,False
2018-08-19,26,False
2018-08-26,62,False
2018-09-02,74,False
2018-09-09,49,False
2018-09-16,48,False
2018-09-23,37,False
2018-09-30,36,False
2018-10-07,49,False
2018-10-14,37,False
2018-10-21,50,False
2018-10-28,37,False
2018-11-04,59,False
2018-11-11,94,False
2018-11-18,46,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,35,False
2019-01-20,46,False
2019-01-27,57,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,60,False
2019-03-03,46,False
2019-03-10,24,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,48,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,23,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,23,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,0,False
2019-06-23,47,False
2019-06-30,23,False
2019-07-07,23,False
2019-07-14,48,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,38,False
2019-08-11,0,False
2019-08-18,100,False
2019-08-25,58,False
2019-09-01,45,False
2019-09-08,68,False
2019-09-15,45,False
2019-09-22,33,False
2019-09-29,32,False
2019-10-06,22,False
2019-10-13,22,False
2019-10-20,44,False
2019-10-27,22,False
2019-11-03,43,False
2019-11-10,32,False
2019-11-17,21,False
2019-11-24,21,False
2019-12-01,21,False
2019-12-08,21,False
2019-12-15,32,False
2019-12-22,48,False
2019-12-29,23,False
2020-01-05,31,False
2020-01-12,21,False
2020-01-19,42,False
2020-01-26,41,False
2020-02-02,21,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,69,False
2020-03-08,78,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,37,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,18,False
2020-04-26,18,False
2020-05-03,17,False
2020-05-10,18,False
2020-05-17,20,False
2020-05-24,29,False
2020-05-31,18,False
2020-06-07,19,False
2020-06-14,19,False
