date,la psychologie,isPartial
2018-01-07,36,False
2018-01-14,39,False
2018-01-21,59,False
2018-01-28,0,False
2018-02-04,32,False
2018-02-11,24,False
2018-02-18,25,False
2018-02-25,24,False
2018-03-04,49,False
2018-03-11,24,False
2018-03-18,37,False
2018-03-25,41,False
2018-04-01,25,False
2018-04-08,50,False
2018-04-15,27,False
2018-04-22,26,False
2018-04-29,52,False
2018-05-06,34,False
2018-05-13,24,False
2018-05-20,100,False
2018-05-27,73,False
2018-06-03,25,False
2018-06-10,36,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,25,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,34,False
2018-09-23,26,False
2018-09-30,51,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,41,False
2018-11-04,49,False
2018-11-11,62,False
2018-11-18,33,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,50,False
2018-12-16,38,False
2018-12-23,26,False
2018-12-30,38,False
2019-01-06,36,False
2019-01-13,24,False
2019-01-20,47,False
2019-01-27,23,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,49,False
2019-03-03,24,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,25,False
2019-04-07,38,False
2019-04-14,52,False
2019-04-21,0,False
2019-04-28,47,False
2019-05-05,23,False
2019-05-12,25,False
2019-05-19,33,False
2019-05-26,24,False
2019-06-02,39,False
2019-06-09,36,False
2019-06-16,50,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,40,False
2019-07-28,0,False
2019-08-04,54,False
2019-08-11,26,False
2019-08-18,40,False
2019-08-25,25,False
2019-09-01,0,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,45,False
2019-10-13,56,False
2019-10-20,31,False
2019-10-27,0,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,55,False
2019-11-24,32,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,44,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,31,False
2020-01-19,21,False
2020-01-26,27,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,17,False
2020-03-29,34,False
2020-04-05,17,False
2020-04-12,26,False
2020-04-19,17,False
2020-04-26,48,False
2020-05-03,16,False
2020-05-10,18,False
2020-05-17,87,True
