date,la psychologie,isPartial
2018-01-07,48,False
2018-01-14,32,False
2018-01-21,48,False
2018-01-28,32,False
2018-02-04,39,False
2018-02-11,48,False
2018-02-18,37,False
2018-02-25,25,False
2018-03-04,50,False
2018-03-11,66,False
2018-03-18,25,False
2018-03-25,25,False
2018-04-01,58,False
2018-04-08,25,False
2018-04-15,38,False
2018-04-22,41,False
2018-04-29,52,False
2018-05-06,35,False
2018-05-13,38,False
2018-05-20,25,False
2018-05-27,73,False
2018-06-03,40,False
2018-06-10,35,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,36,False
2018-07-08,38,False
2018-07-15,62,False
2018-07-22,27,False
2018-07-29,26,False
2018-08-05,0,False
2018-08-12,82,False
2018-08-19,26,False
2018-08-26,51,False
2018-09-02,43,False
2018-09-09,39,False
2018-09-16,38,False
2018-09-23,42,False
2018-09-30,25,False
2018-10-07,34,False
2018-10-14,34,False
2018-10-21,44,False
2018-10-28,76,False
2018-11-04,36,False
2018-11-11,59,False
2018-11-18,34,False
2018-11-25,46,False
2018-12-02,38,False
2018-12-09,47,False
2018-12-16,24,False
2018-12-23,54,False
2018-12-30,34,False
2019-01-06,31,False
2019-01-13,62,False
2019-01-20,54,False
2019-01-27,34,False
2019-02-03,23,False
2019-02-10,100,False
2019-02-17,25,False
2019-02-24,0,False
2019-03-03,38,False
2019-03-10,71,False
2019-03-17,33,False
2019-03-24,24,False
2019-03-31,49,False
2019-04-07,52,False
2019-04-14,52,False
2019-04-21,24,False
2019-04-28,24,False
2019-05-05,24,False
2019-05-12,49,False
2019-05-19,25,False
2019-05-26,25,False
2019-06-02,34,False
2019-06-09,95,False
2019-06-16,33,False
2019-06-23,48,False
2019-06-30,40,False
2019-07-07,40,False
2019-07-14,25,False
2019-07-21,25,False
2019-07-28,26,False
2019-08-04,0,False
2019-08-11,24,False
2019-08-18,25,False
2019-08-25,47,False
2019-09-01,23,False
2019-09-08,31,False
2019-09-15,39,False
2019-09-22,44,False
2019-09-29,51,False
2019-10-06,22,False
2019-10-13,33,False
2019-10-20,44,False
2019-10-27,43,False
2019-11-03,0,False
2019-11-10,50,False
2019-11-17,43,False
2019-11-24,31,False
2019-12-01,21,False
2019-12-08,63,False
2019-12-15,43,False
2019-12-22,60,False
2019-12-29,23,False
2020-01-05,48,False
2020-01-12,47,False
2020-01-19,32,False
2020-01-26,20,False
2020-02-02,34,False
2020-02-09,63,False
2020-02-16,32,False
2020-02-23,21,False
2020-03-01,46,False
2020-03-08,33,False
2020-03-15,0,False
2020-03-22,28,False
2020-03-29,40,False
2020-04-05,51,False
2020-04-12,53,False
2020-04-19,58,False
2020-04-26,48,False
2020-05-03,25,False
2020-05-10,36,False
2020-05-17,45,True
