date,Piscine enterrée,isPartial
2018-01-07,10,False
2018-01-14,7,False
2018-01-21,5,False
2018-01-28,21,False
2018-02-04,7,False
2018-02-11,8,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,12,False
2018-03-11,8,False
2018-03-18,5,False
2018-03-25,20,False
2018-04-01,11,False
2018-04-08,13,False
2018-04-15,30,False
2018-04-22,14,False
2018-04-29,14,False
2018-05-06,26,False
2018-05-13,13,False
2018-05-20,13,False
2018-05-27,23,False
2018-06-03,30,False
2018-06-10,16,False
2018-06-17,18,False
2018-06-24,33,False
2018-07-01,50,False
2018-07-08,33,False
2018-07-15,26,False
2018-07-22,47,False
2018-07-29,56,False
2018-08-05,50,False
2018-08-12,39,False
2018-08-19,22,False
2018-08-26,18,False
2018-09-02,22,False
2018-09-09,15,False
2018-09-16,10,False
2018-09-23,15,False
2018-09-30,10,False
2018-10-07,11,False
2018-10-14,12,False
2018-10-21,10,False
2018-10-28,5,False
2018-11-04,5,False
2018-11-11,8,False
2018-11-18,5,False
2018-11-25,7,False
2018-12-02,5,False
2018-12-09,5,False
2018-12-16,5,False
2018-12-23,6,False
2018-12-30,12,False
2019-01-06,13,False
2019-01-13,5,False
2019-01-20,17,False
2019-01-27,7,False
2019-02-03,16,False
2019-02-10,12,False
2019-02-17,10,False
2019-02-24,19,False
2019-03-03,12,False
2019-03-10,10,False
2019-03-17,19,False
2019-03-24,14,False
2019-03-31,8,False
2019-04-07,14,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,16,False
2019-05-12,11,False
2019-05-19,24,False
2019-05-26,16,False
2019-06-02,30,False
2019-06-09,16,False
2019-06-16,14,False
2019-06-23,67,False
2019-06-30,56,False
2019-07-07,29,False
2019-07-14,17,False
2019-07-21,50,False
2019-07-28,30,False
2019-08-04,18,False
2019-08-11,26,False
2019-08-18,22,False
2019-08-25,17,False
2019-09-01,10,False
2019-09-08,20,False
2019-09-15,10,False
2019-09-22,12,False
2019-09-29,10,False
2019-10-06,17,False
2019-10-13,8,False
2019-10-20,17,False
2019-10-27,11,False
2019-11-03,5,False
2019-11-10,5,False
2019-11-17,7,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,5,False
2019-12-15,5,False
2019-12-22,0,False
2019-12-29,8,False
2020-01-05,11,False
2020-01-12,7,False
2020-01-19,10,False
2020-01-26,10,False
2020-02-02,13,False
2020-02-09,10,False
2020-02-16,10,False
2020-02-23,13,False
2020-03-01,9,False
2020-03-08,9,False
2020-03-15,8,False
2020-03-22,12,False
2020-03-29,13,False
2020-04-05,59,False
2020-04-12,64,False
2020-04-19,48,False
2020-04-26,36,False
2020-05-03,46,False
2020-05-10,25,False
2020-05-17,100,True
