date,Piscine enterrée,isPartial
2018-01-07,11,False
2018-01-14,14,False
2018-01-21,12,False
2018-01-28,15,False
2018-02-04,12,False
2018-02-11,14,False
2018-02-18,17,False
2018-02-25,11,False
2018-03-04,16,False
2018-03-11,18,False
2018-03-18,22,False
2018-03-25,24,False
2018-04-01,30,False
2018-04-08,28,False
2018-04-15,44,False
2018-04-22,45,False
2018-04-29,30,False
2018-05-06,34,False
2018-05-13,18,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,22,False
2018-06-10,22,False
2018-06-17,36,False
2018-06-24,43,False
2018-07-01,29,False
2018-07-08,40,False
2018-07-15,37,False
2018-07-22,50,False
2018-07-29,56,False
2018-08-05,57,False
2018-08-12,47,False
2018-08-19,32,False
2018-08-26,26,False
2018-09-02,20,False
2018-09-09,15,False
2018-09-16,15,False
2018-09-23,8,False
2018-09-30,11,False
2018-10-07,34,False
2018-10-14,13,False
2018-10-21,8,False
2018-10-28,15,False
2018-11-04,7,False
2018-11-11,11,False
2018-11-18,7,False
2018-11-25,7,False
2018-12-02,7,False
2018-12-09,0,False
2018-12-16,8,False
2018-12-23,19,False
2018-12-30,8,False
2019-01-06,12,False
2019-01-13,14,False
2019-01-20,19,False
2019-01-27,18,False
2019-02-03,14,False
2019-02-10,21,False
2019-02-17,11,False
2019-02-24,19,False
2019-03-03,21,False
2019-03-10,35,False
2019-03-17,20,False
2019-03-24,43,False
2019-03-31,30,False
2019-04-07,25,False
2019-04-14,21,False
2019-04-21,9,False
2019-04-28,23,False
2019-05-05,27,False
2019-05-12,18,False
2019-05-19,20,False
2019-05-26,38,False
2019-06-02,43,False
2019-06-09,26,False
2019-06-16,35,False
2019-06-23,100,False
2019-06-30,65,False
2019-07-07,54,False
2019-07-14,49,False
2019-07-21,55,False
2019-07-28,22,False
2019-08-04,29,False
2019-08-11,31,False
2019-08-18,21,False
2019-08-25,53,False
2019-09-01,26,False
2019-09-08,27,False
2019-09-15,20,False
2019-09-22,23,False
2019-09-29,10,False
2019-10-06,10,False
2019-10-13,16,False
2019-10-20,17,False
2019-10-27,11,False
2019-11-03,6,False
2019-11-10,15,False
2019-11-17,19,False
2019-11-24,10,False
2019-12-01,12,False
2019-12-08,6,False
2019-12-15,0,False
2019-12-22,7,False
2019-12-29,15,False
2020-01-05,12,False
2020-01-12,12,False
2020-01-19,10,False
2020-01-26,36,False
2020-02-02,9,False
2020-02-09,16,False
2020-02-16,15,False
2020-02-23,9,False
2020-03-01,14,False
2020-03-08,20,False
2020-03-15,16,False
2020-03-22,21,False
2020-03-29,11,False
2020-04-05,62,False
2020-04-12,69,False
2020-04-19,59,False
2020-04-26,43,False
2020-05-03,42,False
2020-05-10,61,False
2020-05-17,73,True
