date,Piscine enterrée,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,0,False
2018-01-28,27,False
2018-02-04,53,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,26,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,28,False
2018-04-01,58,False
2018-04-08,29,False
2018-04-15,32,False
2018-04-22,37,False
2018-04-29,55,False
2018-05-06,29,False
2018-05-13,0,False
2018-05-20,29,False
2018-05-27,56,False
2018-06-03,43,False
2018-06-10,41,False
2018-06-17,45,False
2018-06-24,45,False
2018-07-01,99,False
2018-07-08,29,False
2018-07-15,30,False
2018-07-22,30,False
2018-07-29,100,False
2018-08-05,70,False
2018-08-12,72,False
2018-08-19,30,False
2018-08-26,60,False
2018-09-02,44,False
2018-09-09,30,False
2018-09-16,29,False
2018-09-23,0,False
2018-09-30,29,False
2018-10-07,29,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,28,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,29,False
2018-12-23,30,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,26,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,43,False
2019-03-24,43,False
2019-03-31,28,False
2019-04-07,42,False
2019-04-14,29,False
2019-04-21,56,False
2019-04-28,27,False
2019-05-05,27,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,29,False
2019-06-02,53,False
2019-06-09,26,False
2019-06-16,56,False
2019-06-23,98,False
2019-06-30,72,False
2019-07-07,65,False
2019-07-14,43,False
2019-07-21,69,False
2019-07-28,48,False
2019-08-04,0,False
2019-08-11,56,False
2019-08-18,28,False
2019-08-25,55,False
2019-09-01,54,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,0,False
2019-09-29,52,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,25,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,24,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,0,False
2020-02-02,24,False
2020-02-09,23,False
2020-02-16,0,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,34,False
2020-03-15,20,False
2020-03-22,32,False
2020-03-29,19,False
2020-04-05,39,False
2020-04-12,33,False
2020-04-19,46,False
2020-04-26,62,False
2020-05-03,70,False
2020-05-10,40,False
2020-05-17,79,True
