date,piscine enterrée,isPartial
2018-01-07,48,False
2018-01-14,49,False
2018-01-21,24,False
2018-01-28,38,False
2018-02-04,24,False
2018-02-11,37,False
2018-02-18,76,False
2018-02-25,39,False
2018-03-04,36,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,23,False
2018-04-15,53,False
2018-04-22,26,False
2018-04-29,32,False
2018-05-06,72,False
2018-05-13,36,False
2018-05-20,25,False
2018-05-27,72,False
2018-06-03,61,False
2018-06-10,63,False
2018-06-17,59,False
2018-06-24,33,False
2018-07-01,36,False
2018-07-08,47,False
2018-07-15,55,False
2018-07-22,23,False
2018-07-29,61,False
2018-08-05,85,False
2018-08-12,81,False
2018-08-19,46,False
2018-08-26,35,False
2018-09-02,37,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,33,False
2018-10-14,25,False
2018-10-21,39,False
2018-10-28,0,False
2018-11-04,49,False
2018-11-11,25,False
2018-11-18,41,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,52,False
2018-12-16,0,False
2018-12-23,30,False
2018-12-30,41,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,36,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,26,False
2019-03-03,44,False
2019-03-10,26,False
2019-03-17,26,False
2019-03-24,26,False
2019-03-31,37,False
2019-04-07,100,False
2019-04-14,24,False
2019-04-21,48,False
2019-04-28,51,False
2019-05-05,32,False
2019-05-12,49,False
2019-05-19,24,False
2019-05-26,81,False
2019-06-02,86,False
2019-06-09,54,False
2019-06-16,61,False
2019-06-23,60,False
2019-06-30,87,False
2019-07-07,44,False
2019-07-14,22,False
2019-07-21,36,False
2019-07-28,49,False
2019-08-04,41,False
2019-08-11,41,False
2019-08-18,29,False
2019-08-25,57,False
2019-09-01,22,False
2019-09-08,33,False
2019-09-15,22,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,0,False
2019-10-13,23,False
2019-10-20,22,False
2019-10-27,33,False
2019-11-03,45,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,75,False
2019-12-29,24,False
2020-01-05,33,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,43,False
2020-02-02,33,False
2020-02-09,22,False
2020-02-16,43,False
2020-02-23,30,False
2020-03-01,40,False
2020-03-08,31,False
2020-03-15,18,False
2020-03-22,29,False
2020-03-29,18,False
2020-04-05,36,False
2020-04-12,98,False
2020-04-19,51,False
2020-04-26,17,False
2020-05-03,74,False
2020-05-10,46,False
2020-05-17,53,True
