date,vestiti da cerimonia,isPartial
2018-01-07,12,False
2018-01-14,28,False
2018-01-21,46,False
2018-01-28,50,False
2018-02-04,38,False
2018-02-11,70,False
2018-02-18,81,False
2018-02-25,41,False
2018-03-04,38,False
2018-03-11,42,False
2018-03-18,54,False
2018-03-25,53,False
2018-04-01,31,False
2018-04-08,78,False
2018-04-15,58,False
2018-04-22,31,False
2018-04-29,33,False
2018-05-06,59,False
2018-05-13,59,False
2018-05-20,42,False
2018-05-27,44,False
2018-06-03,37,False
2018-06-10,52,False
2018-06-17,94,False
2018-06-24,48,False
2018-07-01,22,False
2018-07-08,22,False
2018-07-15,34,False
2018-07-22,30,False
2018-07-29,30,False
2018-08-05,28,False
2018-08-12,43,False
2018-08-19,30,False
2018-08-26,50,False
2018-09-02,72,False
2018-09-09,39,False
2018-09-16,14,False
2018-09-23,28,False
2018-09-30,42,False
2018-10-07,21,False
2018-10-14,11,False
2018-10-21,25,False
2018-10-28,21,False
2018-11-04,13,False
2018-11-11,21,False
2018-11-18,14,False
2018-11-25,7,False
2018-12-02,16,False
2018-12-09,22,False
2018-12-16,0,False
2018-12-23,14,False
2018-12-30,24,False
2019-01-06,28,False
2019-01-13,15,False
2019-01-20,48,False
2019-01-27,43,False
2019-02-03,100,False
2019-02-10,50,False
2019-02-17,35,False
2019-02-24,45,False
2019-03-03,24,False
2019-03-10,68,False
2019-03-17,81,False
2019-03-24,71,False
2019-03-31,35,False
2019-04-07,37,False
2019-04-14,50,False
2019-04-21,66,False
2019-04-28,38,False
2019-05-05,59,False
2019-05-12,37,False
2019-05-19,65,False
2019-05-26,33,False
2019-06-02,31,False
2019-06-09,57,False
2019-06-16,28,False
2019-06-23,32,False
2019-06-30,46,False
2019-07-07,30,False
2019-07-14,29,False
2019-07-21,12,False
2019-07-28,44,False
2019-08-04,47,False
2019-08-11,20,False
2019-08-18,19,False
2019-08-25,55,False
2019-09-01,33,False
2019-09-08,54,False
2019-09-15,18,False
2019-09-22,11,False
2019-09-29,11,False
2019-10-06,30,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,15,False
2019-11-03,21,False
2019-11-10,11,False
2019-11-17,18,False
2019-11-24,29,False
2019-12-01,8,False
2019-12-08,15,False
2019-12-15,0,False
2019-12-22,14,False
2019-12-29,9,False
2020-01-05,19,False
2020-01-12,28,False
2020-01-19,32,False
2020-01-26,25,False
2020-02-02,45,False
2020-02-09,43,False
2020-02-16,53,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,7,False
2020-03-15,10,False
2020-03-22,6,False
2020-03-29,13,False
2020-04-05,17,False
2020-04-12,7,False
2020-04-19,16,False
2020-04-26,0,True
