date,vestiti da cerimonia,isPartial
2018-01-07,65,False
2018-01-14,16,False
2018-01-21,45,False
2018-01-28,46,False
2018-02-04,59,False
2018-02-11,32,False
2018-02-18,62,False
2018-02-25,45,False
2018-03-04,46,False
2018-03-11,63,False
2018-03-18,64,False
2018-03-25,100,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,34,False
2018-04-29,49,False
2018-05-06,16,False
2018-05-13,32,False
2018-05-20,16,False
2018-05-27,49,False
2018-06-03,64,False
2018-06-10,0,False
2018-06-17,69,False
2018-06-24,36,False
2018-07-01,35,False
2018-07-08,17,False
2018-07-15,18,False
2018-07-22,55,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,37,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,0,False
2018-10-14,17,False
2018-10-21,34,False
2018-10-28,17,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,33,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,16,False
2019-01-13,31,False
2019-01-20,30,False
2019-01-27,58,False
2019-02-03,15,False
2019-02-10,15,False
2019-02-17,45,False
2019-02-24,31,False
2019-03-03,64,False
2019-03-10,47,False
2019-03-17,16,False
2019-03-24,78,False
2019-03-31,30,False
2019-04-07,60,False
2019-04-14,0,False
2019-04-21,52,False
2019-04-28,16,False
2019-05-05,62,False
2019-05-12,76,False
2019-05-19,60,False
2019-05-26,15,False
2019-06-02,30,False
2019-06-09,15,False
2019-06-16,31,False
2019-06-23,0,False
2019-06-30,47,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,33,False
2019-07-28,17,False
2019-08-04,0,False
2019-08-11,20,False
2019-08-18,18,False
2019-08-25,32,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,15,False
2019-10-13,15,False
2019-10-20,14,False
2019-10-27,14,False
2019-11-03,14,False
2019-11-10,14,False
2019-11-17,28,False
2019-11-24,14,False
2019-12-01,29,False
2019-12-08,15,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,14,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,13,False
2020-02-02,25,False
2020-02-09,67,False
2020-02-16,13,False
2020-02-23,25,False
2020-03-01,37,False
2020-03-08,23,False
2020-03-15,12,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
