date,Baumpflege,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,21,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,20,False
2018-03-04,51,False
2018-03-11,61,False
2018-03-18,31,False
2018-03-25,22,False
2018-04-01,0,False
2018-04-08,44,False
2018-04-15,22,False
2018-04-22,22,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,21,False
2018-06-10,21,False
2018-06-17,0,False
2018-06-24,31,False
2018-07-01,0,False
2018-07-08,63,False
2018-07-15,22,False
2018-07-22,44,False
2018-07-29,22,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,44,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,22,False
2018-10-28,22,False
2018-11-04,21,False
2018-11-11,0,False
2018-11-18,20,False
2018-11-25,41,False
2018-12-02,21,False
2018-12-09,41,False
2018-12-16,64,False
2018-12-23,48,False
2018-12-30,42,False
2019-01-06,0,False
2019-01-13,19,False
2019-01-20,57,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,39,False
2019-02-17,77,False
2019-02-24,39,False
2019-03-03,0,False
2019-03-10,48,False
2019-03-17,100,False
2019-03-24,30,False
2019-03-31,41,False
2019-04-07,0,False
2019-04-14,66,False
2019-04-21,0,False
2019-04-28,61,False
2019-05-05,19,False
2019-05-12,20,False
2019-05-19,29,False
2019-05-26,39,False
2019-06-02,41,False
2019-06-09,21,False
2019-06-16,0,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,43,False
2019-07-21,43,False
2019-07-28,42,False
2019-08-04,22,False
2019-08-11,31,False
2019-08-18,40,False
2019-08-25,0,False
2019-09-01,19,False
2019-09-08,60,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,47,False
2019-10-06,19,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,18,False
2019-11-10,27,False
2019-11-17,37,False
2019-11-24,18,False
2019-12-01,19,False
2019-12-08,37,False
2019-12-15,38,False
2019-12-22,0,False
2019-12-29,19,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,35,False
2020-01-26,34,False
2020-02-02,34,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,24,False
2020-03-15,16,False
2020-03-22,47,False
2020-03-29,48,False
2020-04-05,18,False
2020-04-12,17,False
2020-04-19,17,False
2020-04-26,25,False
2020-05-03,17,False
2020-05-10,42,False
2020-05-17,18,False
2020-05-24,25,False
2020-05-31,34,False
2020-06-07,17,False
2020-06-14,41,False
2020-06-21,43,False
2020-06-28,17,False
2020-07-05,18,False
