date,torte di zucchero,isPartial
2018-01-07,52,False
2018-01-14,73,False
2018-01-21,41,False
2018-01-28,61,False
2018-02-04,40,False
2018-02-11,58,False
2018-02-18,65,False
2018-02-25,54,False
2018-03-04,37,False
2018-03-11,83,False
2018-03-18,47,False
2018-03-25,30,False
2018-04-01,41,False
2018-04-08,37,False
2018-04-15,48,False
2018-04-22,40,False
2018-04-29,38,False
2018-05-06,45,False
2018-05-13,73,False
2018-05-20,93,False
2018-05-27,48,False
2018-06-03,20,False
2018-06-10,55,False
2018-06-17,54,False
2018-06-24,39,False
2018-07-01,58,False
2018-07-08,19,False
2018-07-15,39,False
2018-07-22,59,False
2018-07-29,40,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,55,False
2018-09-02,28,False
2018-09-09,56,False
2018-09-16,53,False
2018-09-23,28,False
2018-09-30,46,False
2018-10-07,28,False
2018-10-14,37,False
2018-10-21,0,False
2018-10-28,36,False
2018-11-04,35,False
2018-11-11,100,False
2018-11-18,36,False
2018-11-25,37,False
2018-12-02,85,False
2018-12-09,29,False
2018-12-16,91,False
2018-12-23,25,False
2018-12-30,86,False
2019-01-06,31,False
2019-01-13,20,False
2019-01-20,38,False
2019-01-27,61,False
2019-02-03,40,False
2019-02-10,20,False
2019-02-17,0,False
2019-02-24,36,False
2019-03-03,42,False
2019-03-10,42,False
2019-03-17,43,False
2019-03-24,52,False
2019-03-31,41,False
2019-04-07,19,False
2019-04-14,40,False
2019-04-21,23,False
2019-04-28,59,False
2019-05-05,36,False
2019-05-12,49,False
2019-05-19,50,False
2019-05-26,48,False
2019-06-02,40,False
2019-06-09,40,False
2019-06-16,21,False
2019-06-23,64,False
2019-06-30,22,False
2019-07-07,20,False
2019-07-14,22,False
2019-07-21,0,False
2019-07-28,46,False
2019-08-04,25,False
2019-08-11,27,False
2019-08-18,51,False
2019-08-25,89,False
2019-09-01,19,False
2019-09-08,20,False
2019-09-15,39,False
2019-09-22,39,False
2019-09-29,19,False
2019-10-06,20,False
2019-10-13,40,False
2019-10-20,58,False
2019-10-27,29,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,39,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,35,False
2020-01-05,60,False
2020-01-12,55,False
2020-01-19,38,False
2020-01-26,37,False
2020-02-02,36,False
2020-02-09,46,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,35,False
2020-03-22,33,False
2020-03-29,17,False
2020-04-05,0,False
2020-04-12,18,False
2020-04-19,33,False
2020-04-26,29,True
