date,torte di zucchero,isPartial
2018-01-07,70,False
2018-01-14,0,False
2018-01-21,70,False
2018-01-28,23,False
2018-02-04,45,False
2018-02-11,23,False
2018-02-18,44,False
2018-02-25,21,False
2018-03-04,46,False
2018-03-11,23,False
2018-03-18,68,False
2018-03-25,48,False
2018-04-01,24,False
2018-04-08,47,False
2018-04-15,0,False
2018-04-22,100,False
2018-04-29,72,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,47,False
2018-05-27,49,False
2018-06-03,72,False
2018-06-10,22,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,46,False
2018-07-08,0,False
2018-07-15,23,False
2018-07-22,22,False
2018-07-29,44,False
2018-08-05,22,False
2018-08-12,20,False
2018-08-19,0,False
2018-08-26,20,False
2018-09-02,65,False
2018-09-09,46,False
2018-09-16,68,False
2018-09-23,69,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,49,False
2018-10-21,24,False
2018-10-28,48,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,47,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,23,False
2019-01-13,68,False
2019-01-20,63,False
2019-01-27,21,False
2019-02-03,41,False
2019-02-10,42,False
2019-02-17,66,False
2019-02-24,21,False
2019-03-03,23,False
2019-03-10,86,False
2019-03-17,0,False
2019-03-24,22,False
2019-03-31,43,False
2019-04-07,0,False
2019-04-14,23,False
2019-04-21,0,False
2019-04-28,42,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,21,False
2019-05-26,20,False
2019-06-02,0,False
2019-06-09,45,False
2019-06-16,22,False
2019-06-23,65,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,43,False
2019-07-21,65,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,43,False
2019-08-18,21,False
2019-08-25,61,False
2019-09-01,0,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,40,False
2019-09-29,0,False
2019-10-06,41,False
2019-10-13,21,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,20,False
2019-11-17,41,False
2019-11-24,20,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,21,False
2020-01-05,20,False
2020-01-12,0,False
2020-01-19,39,False
2020-01-26,19,False
2020-02-02,37,False
2020-02-09,38,False
2020-02-16,38,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,0,False
2020-04-19,61,False
2020-04-26,28,True
