date,Wand malen,isPartial
2018-01-07,37,False
2018-01-14,24,False
2018-01-21,41,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,42,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,50,False
2018-03-11,49,False
2018-03-18,42,False
2018-03-25,53,False
2018-04-01,39,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,50,False
2018-05-20,52,False
2018-05-27,49,False
2018-06-03,100,False
2018-06-10,0,False
2018-06-17,48,False
2018-06-24,42,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,53,False
2018-08-05,52,False
2018-08-12,53,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,51,False
2018-09-30,60,False
2018-10-07,50,False
2018-10-14,60,False
2018-10-21,25,False
2018-10-28,41,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,39,False
2018-11-25,24,False
2018-12-02,36,False
2018-12-09,24,False
2018-12-16,37,False
2018-12-23,0,False
2018-12-30,39,False
2019-01-06,23,False
2019-01-13,30,False
2019-01-20,34,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,47,False
2019-02-17,24,False
2019-02-24,48,False
2019-03-03,47,False
2019-03-10,34,False
2019-03-17,24,False
2019-03-24,84,False
2019-03-31,35,False
2019-04-07,36,False
2019-04-14,35,False
2019-04-21,25,False
2019-04-28,0,False
2019-05-05,23,False
2019-05-12,39,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,40,False
2019-06-23,0,False
2019-06-30,94,False
2019-07-07,46,False
2019-07-14,25,False
2019-07-21,53,False
2019-07-28,26,False
2019-08-04,26,False
2019-08-11,25,False
2019-08-18,25,False
2019-08-25,35,False
2019-09-01,35,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,70,False
2019-09-29,35,False
2019-10-06,34,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,33,False
2019-11-17,22,False
2019-11-24,54,False
2019-12-01,44,False
2019-12-08,55,False
2019-12-15,22,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,0,False
2020-01-19,21,False
2020-01-26,41,False
2020-02-02,41,False
2020-02-09,34,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,48,False
2020-03-15,0,False
2020-03-22,44,False
2020-03-29,75,False
2020-04-05,31,False
2020-04-12,39,False
2020-04-19,38,False
2020-04-26,47,False
2020-05-03,45,False
2020-05-10,86,False
2020-05-17,0,True
