date,Wand malen,isPartial
2018-01-07,22,False
2018-01-14,64,False
2018-01-21,43,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,0,False
2018-02-18,22,False
2018-02-25,30,False
2018-03-04,22,False
2018-03-11,65,False
2018-03-18,0,False
2018-03-25,23,False
2018-04-01,24,False
2018-04-08,23,False
2018-04-15,23,False
2018-04-22,23,False
2018-04-29,36,False
2018-05-06,24,False
2018-05-13,23,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,23,False
2018-06-10,0,False
2018-06-17,45,False
2018-06-24,23,False
2018-07-01,22,False
2018-07-08,45,False
2018-07-15,45,False
2018-07-22,23,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,25,False
2018-08-19,25,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,23,False
2018-10-14,45,False
2018-10-21,22,False
2018-10-28,22,False
2018-11-04,21,False
2018-11-11,22,False
2018-11-18,21,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,22,False
2018-12-23,26,False
2018-12-30,0,False
2019-01-06,21,False
2019-01-13,0,False
2019-01-20,60,False
2019-01-27,21,False
2019-02-03,20,False
2019-02-10,21,False
2019-02-17,21,False
2019-02-24,0,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,42,False
2019-03-31,21,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,32,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,27,False
2019-05-26,22,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,22,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,22,False
2019-07-28,22,False
2019-08-04,0,False
2019-08-11,23,False
2019-08-18,23,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,21,False
2019-09-22,21,False
2019-09-29,31,False
2019-10-06,0,False
2019-10-13,40,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,19,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,55,False
2020-01-05,19,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,18,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,0,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,33,False
2020-03-29,100,False
2020-04-05,30,False
2020-04-12,23,False
2020-04-19,17,False
2020-04-26,16,False
2020-05-03,17,False
2020-05-10,50,False
2020-05-17,61,True
