date,Dielen schleifen,isPartial
2018-01-07,45,False
2018-01-14,59,False
2018-01-21,45,False
2018-01-28,50,False
2018-02-04,61,False
2018-02-11,46,False
2018-02-18,41,False
2018-02-25,60,False
2018-03-04,60,False
2018-03-11,60,False
2018-03-18,46,False
2018-03-25,65,False
2018-04-01,86,False
2018-04-08,31,False
2018-04-15,80,False
2018-04-22,71,False
2018-04-29,79,False
2018-05-06,32,False
2018-05-13,30,False
2018-05-20,49,False
2018-05-27,0,False
2018-06-03,61,False
2018-06-10,39,False
2018-06-17,45,False
2018-06-24,0,False
2018-07-01,45,False
2018-07-08,30,False
2018-07-15,32,False
2018-07-22,47,False
2018-07-29,0,False
2018-08-05,62,False
2018-08-12,32,False
2018-08-19,31,False
2018-08-26,31,False
2018-09-02,62,False
2018-09-09,31,False
2018-09-16,0,False
2018-09-23,46,False
2018-09-30,31,False
2018-10-07,61,False
2018-10-14,76,False
2018-10-21,30,False
2018-10-28,74,False
2018-11-04,88,False
2018-11-11,45,False
2018-11-18,29,False
2018-11-25,30,False
2018-12-02,44,False
2018-12-09,0,False
2018-12-16,61,False
2018-12-23,35,False
2018-12-30,47,False
2019-01-06,38,False
2019-01-13,55,False
2019-01-20,55,False
2019-01-27,55,False
2019-02-03,42,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,56,False
2019-03-10,28,False
2019-03-17,59,False
2019-03-24,49,False
2019-03-31,59,False
2019-04-07,29,False
2019-04-14,63,False
2019-04-21,46,False
2019-04-28,48,False
2019-05-05,47,False
2019-05-12,44,False
2019-05-19,0,False
2019-05-26,44,False
2019-06-02,29,False
2019-06-09,29,False
2019-06-16,0,False
2019-06-23,39,False
2019-06-30,44,False
2019-07-07,57,False
2019-07-14,45,False
2019-07-21,63,False
2019-07-28,30,False
2019-08-04,31,False
2019-08-11,88,False
2019-08-18,30,False
2019-08-25,73,False
2019-09-01,57,False
2019-09-08,39,False
2019-09-15,48,False
2019-09-22,0,False
2019-09-29,28,False
2019-10-06,56,False
2019-10-13,42,False
2019-10-20,28,False
2019-10-27,36,False
2019-11-03,26,False
2019-11-10,54,False
2019-11-17,53,False
2019-11-24,26,False
2019-12-01,81,False
2019-12-08,54,False
2019-12-15,37,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,52,False
2020-01-12,100,False
2020-01-19,26,False
2020-01-26,59,False
2020-02-02,38,False
2020-02-09,25,False
2020-02-16,52,False
2020-02-23,25,False
2020-03-01,37,False
2020-03-08,35,False
2020-03-15,0,False
2020-03-22,30,False
2020-03-29,34,False
2020-04-05,42,False
2020-04-12,36,False
2020-04-19,23,False
2020-04-26,46,False
2020-05-03,38,False
2020-05-10,23,False
