date,figuras tarta boda,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,59,False
2018-01-28,29,False
2018-02-04,29,False
2018-02-11,30,False
2018-02-18,74,False
2018-02-25,57,False
2018-03-04,0,False
2018-03-11,28,False
2018-03-18,0,False
2018-03-25,49,False
2018-04-01,30,False
2018-04-08,0,False
2018-04-15,29,False
2018-04-22,29,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,29,False
2018-05-20,29,False
2018-05-27,100,False
2018-06-03,57,False
2018-06-10,28,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,29,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,31,False
2018-08-05,46,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,0,False
2018-09-02,58,False
2018-09-09,29,False
2018-09-16,0,False
2018-09-23,28,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,28,False
2018-10-21,28,False
2018-10-28,44,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,28,False
2019-01-20,0,False
2019-01-27,27,False
2019-02-03,0,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,42,False
2019-03-03,58,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,27,False
2019-04-14,44,False
2019-04-21,42,False
2019-04-28,28,False
2019-05-05,0,False
2019-05-12,28,False
2019-05-19,54,False
2019-05-26,55,False
2019-06-02,0,False
2019-06-09,27,False
2019-06-16,0,False
2019-06-23,57,False
2019-06-30,29,False
2019-07-07,28,False
2019-07-14,0,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,61,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,28,False
2019-09-01,26,False
2019-09-08,27,False
2019-09-15,26,False
2019-09-22,26,False
2019-09-29,0,False
2019-10-06,26,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,27,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,57,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,0,False
2020-01-26,25,False
2020-02-02,48,False
2020-02-09,49,False
2020-02-16,0,False
2020-02-23,24,False
2020-03-01,70,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
