date,parler anglais,isPartial
2018-01-07,45,False
2018-01-14,22,False
2018-01-21,46,False
2018-01-28,45,False
2018-02-04,37,False
2018-02-11,23,False
2018-02-18,23,False
2018-02-25,24,False
2018-03-04,36,False
2018-03-11,39,False
2018-03-18,0,False
2018-03-25,47,False
2018-04-01,24,False
2018-04-08,47,False
2018-04-15,48,False
2018-04-22,35,False
2018-04-29,37,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,34,False
2018-06-03,23,False
2018-06-10,22,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,23,False
2018-07-08,24,False
2018-07-15,26,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,42,False
2018-08-26,24,False
2018-09-02,37,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,100,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,46,False
2018-11-11,33,False
2018-11-18,22,False
2018-11-25,43,False
2018-12-02,44,False
2018-12-09,0,False
2018-12-16,46,False
2018-12-23,25,False
2018-12-30,24,False
2019-01-06,22,False
2019-01-13,22,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,0,False
2019-02-10,35,False
2019-02-17,24,False
2019-02-24,23,False
2019-03-03,43,False
2019-03-10,30,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,0,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,23,False
2019-06-23,0,False
2019-06-30,23,False
2019-07-07,0,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,25,False
2019-08-04,24,False
2019-08-11,34,False
2019-08-18,24,False
2019-08-25,22,False
2019-09-01,33,False
2019-09-08,67,False
2019-09-15,22,False
2019-09-22,0,False
2019-09-29,21,False
2019-10-06,42,False
2019-10-13,0,False
2019-10-20,35,False
2019-10-27,30,False
2019-11-03,20,False
2019-11-10,21,False
2019-11-17,20,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,40,False
2020-02-23,19,False
2020-03-01,25,False
2020-03-08,0,False
2020-03-15,17,False
2020-03-22,48,False
2020-03-29,16,False
2020-04-05,24,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,23,False
2020-05-03,21,False
2020-05-10,0,False
2020-05-17,22,True
