date,parler anglais,isPartial
2018-01-07,31,False
2018-01-14,24,False
2018-01-21,0,False
2018-01-28,36,False
2018-02-04,36,False
2018-02-11,24,False
2018-02-18,49,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,35,False
2018-03-18,35,False
2018-03-25,23,False
2018-04-01,0,False
2018-04-08,24,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,38,False
2018-05-06,50,False
2018-05-13,23,False
2018-05-20,48,False
2018-05-27,23,False
2018-06-03,47,False
2018-06-10,34,False
2018-06-17,35,False
2018-06-24,24,False
2018-07-01,0,False
2018-07-08,25,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,67,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,27,False
2018-08-26,100,False
2018-09-02,37,False
2018-09-09,24,False
2018-09-16,36,False
2018-09-23,72,False
2018-09-30,32,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,0,False
2018-11-04,35,False
2018-11-11,23,False
2018-11-18,23,False
2018-11-25,34,False
2018-12-02,69,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,51,False
2019-01-06,34,False
2019-01-13,38,False
2019-01-20,43,False
2019-01-27,65,False
2019-02-03,22,False
2019-02-10,24,False
2019-02-17,48,False
2019-02-24,23,False
2019-03-03,45,False
2019-03-10,46,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,22,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,20,False
2019-05-05,20,False
2019-05-12,20,False
2019-05-19,31,False
2019-05-26,60,False
2019-06-02,0,False
2019-06-09,21,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,21,False
2019-07-07,44,False
2019-07-14,22,False
2019-07-21,34,False
2019-07-28,45,False
2019-08-04,25,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,23,False
2019-09-15,45,False
2019-09-22,40,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,0,False
2019-10-20,38,False
2019-10-27,19,False
2019-11-03,19,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,18,False
2019-12-01,20,False
2019-12-08,0,False
2019-12-15,21,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,44,False
2020-01-12,30,False
2020-01-19,37,False
2020-01-26,36,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,31,False
2020-02-23,18,False
2020-03-01,37,False
2020-03-08,26,False
2020-03-15,49,False
2020-03-22,32,False
2020-03-29,16,False
2020-04-05,33,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,20,False
2020-05-03,26,False
2020-05-10,22,False
2020-05-17,20,True
