date,Location matrimonio,isPartial
2018-01-07,0,False
2018-01-14,21,False
2018-01-21,42,False
2018-01-28,41,False
2018-02-04,41,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,40,False
2018-03-04,21,False
2018-03-11,0,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,47,False
2018-04-08,67,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,22,False
2018-05-06,21,False
2018-05-13,44,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,45,False
2018-06-10,0,False
2018-06-17,42,False
2018-06-24,22,False
2018-07-01,21,False
2018-07-08,22,False
2018-07-15,90,False
2018-07-22,23,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,26,False
2018-08-19,0,False
2018-08-26,23,False
2018-09-02,65,False
2018-09-09,0,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,43,False
2018-10-07,44,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,67,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,46,False
2019-01-06,43,False
2019-01-13,42,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,22,False
2019-03-10,21,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,23,False
2019-04-28,42,False
2019-05-05,21,False
2019-05-12,42,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,68,False
2019-06-30,47,False
2019-07-07,45,False
2019-07-14,23,False
2019-07-21,69,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,22,False
2019-09-01,100,False
2019-09-08,41,False
2019-09-15,59,False
2019-09-22,78,False
2019-09-29,58,False
2019-10-06,41,False
2019-10-13,20,False
2019-10-20,59,False
2019-10-27,58,False
2019-11-03,56,False
2019-11-10,39,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,41,False
2019-12-08,0,False
2019-12-15,20,False
2019-12-22,22,False
2019-12-29,21,False
2020-01-05,0,False
2020-01-12,77,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,37,False
2020-02-09,19,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,35,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
