date,Location matrimonio,isPartial
2018-01-07,55,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,0,False
2018-02-04,41,False
2018-02-11,28,False
2018-02-18,57,False
2018-02-25,55,False
2018-03-04,0,False
2018-03-11,28,False
2018-03-18,29,False
2018-03-25,60,False
2018-04-01,31,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,63,False
2018-04-29,61,False
2018-05-06,0,False
2018-05-13,29,False
2018-05-20,0,False
2018-05-27,30,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,29,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,88,False
2018-07-15,59,False
2018-07-22,30,False
2018-07-29,59,False
2018-08-05,46,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,42,False
2018-09-02,42,False
2018-09-09,58,False
2018-09-16,29,False
2018-09-23,59,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,61,False
2018-10-21,29,False
2018-10-28,29,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,29,False
2018-11-25,29,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,27,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,28,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,28,False
2019-04-07,0,False
2019-04-14,58,False
2019-04-21,29,False
2019-04-28,27,False
2019-05-05,40,False
2019-05-12,80,False
2019-05-19,40,False
2019-05-26,26,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,56,False
2019-06-23,57,False
2019-06-30,28,False
2019-07-07,43,False
2019-07-14,30,False
2019-07-21,29,False
2019-07-28,29,False
2019-08-04,61,False
2019-08-11,100,False
2019-08-18,45,False
2019-08-25,54,False
2019-09-01,52,False
2019-09-08,28,False
2019-09-15,42,False
2019-09-22,28,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,25,False
2019-11-24,51,False
2019-12-01,53,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,61,False
2019-12-29,58,False
2020-01-05,26,False
2020-01-12,36,False
2020-01-19,25,False
2020-01-26,49,False
2020-02-02,98,False
2020-02-09,25,False
2020-02-16,0,False
2020-02-23,24,False
2020-03-01,46,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,21,False
2020-04-05,0,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,0,True
