date,Coperte Uncinetto,isPartial
2018-01-07,13,False
2018-01-14,39,False
2018-01-21,51,False
2018-01-28,13,False
2018-02-04,38,False
2018-02-11,51,False
2018-02-18,25,False
2018-02-25,61,False
2018-03-04,37,False
2018-03-11,25,False
2018-03-18,13,False
2018-03-25,53,False
2018-04-01,41,False
2018-04-08,13,False
2018-04-15,39,False
2018-04-22,41,False
2018-04-29,13,False
2018-05-06,0,False
2018-05-13,13,False
2018-05-20,0,False
2018-05-27,13,False
2018-06-03,13,False
2018-06-10,25,False
2018-06-17,13,False
2018-06-24,26,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,0,False
2018-07-22,13,False
2018-07-29,13,False
2018-08-05,0,False
2018-08-12,43,False
2018-08-19,99,False
2018-08-26,13,False
2018-09-02,50,False
2018-09-09,51,False
2018-09-16,49,False
2018-09-23,25,False
2018-09-30,50,False
2018-10-07,64,False
2018-10-14,52,False
2018-10-21,13,False
2018-10-28,100,False
2018-11-04,49,False
2018-11-11,26,False
2018-11-18,25,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,15,False
2018-12-30,28,False
2019-01-06,77,False
2019-01-13,75,False
2019-01-20,12,False
2019-01-27,83,False
2019-02-03,60,False
2019-02-10,61,False
2019-02-17,50,False
2019-02-24,86,False
2019-03-03,77,False
2019-03-10,13,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,38,False
2019-04-07,12,False
2019-04-14,13,False
2019-04-21,27,False
2019-04-28,63,False
2019-05-05,37,False
2019-05-12,12,False
2019-05-19,12,False
2019-05-26,24,False
2019-06-02,12,False
2019-06-09,13,False
2019-06-16,63,False
2019-06-23,13,False
2019-06-30,13,False
2019-07-07,12,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,27,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,12,False
2019-09-15,12,False
2019-09-22,23,False
2019-09-29,36,False
2019-10-06,36,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,23,False
2019-11-03,34,False
2019-11-10,11,False
2019-11-17,34,False
2019-11-24,0,False
2019-12-01,24,False
2019-12-08,12,False
2019-12-15,36,False
2019-12-22,28,False
2019-12-29,13,False
2020-01-05,12,False
2020-01-12,11,False
2020-01-19,44,False
2020-01-26,11,False
2020-02-02,22,False
2020-02-09,78,False
2020-02-16,33,False
2020-02-23,21,False
2020-03-01,31,False
2020-03-08,30,False
2020-03-15,10,False
2020-03-22,37,False
2020-03-29,29,False
2020-04-05,20,False
2020-04-12,91,False
2020-04-19,29,False
2020-04-26,67,True
