date,Teppichboden Entfernen,isPartial
2018-01-07,43,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,65,False
2018-03-04,32,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,69,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,48,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,0,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,33,False
2018-07-22,0,False
2018-07-29,46,False
2018-08-05,34,False
2018-08-12,34,False
2018-08-19,50,False
2018-08-26,33,False
2018-09-02,49,False
2018-09-09,33,False
2018-09-16,33,False
2018-09-23,66,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,100,False
2018-10-21,50,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,48,False
2018-11-18,46,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,32,False
2018-12-16,32,False
2018-12-23,37,False
2018-12-30,67,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,60,False
2019-02-10,61,False
2019-02-17,31,False
2019-02-24,31,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,63,False
2019-03-24,47,False
2019-03-31,0,False
2019-04-07,47,False
2019-04-14,34,False
2019-04-21,33,False
2019-04-28,79,False
2019-05-05,30,False
2019-05-12,47,False
2019-05-19,0,False
2019-05-26,31,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,65,False
2019-07-21,0,False
2019-07-28,34,False
2019-08-04,51,False
2019-08-11,65,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,30,False
2019-10-13,30,False
2019-10-20,61,False
2019-10-27,30,False
2019-11-03,28,False
2019-11-10,43,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,43,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,28,False
2020-01-12,27,False
2020-01-19,37,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,40,False
2020-03-01,53,False
2020-03-08,38,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,74,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,25,False
2020-04-26,24,False
2020-05-03,25,False
2020-05-10,25,False
