date,piscine originale,isPartial
2018-01-07,29,False
2018-01-14,29,False
2018-01-21,43,False
2018-01-28,0,False
2018-02-04,29,False
2018-02-11,59,False
2018-02-18,30,False
2018-02-25,88,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,30,False
2018-03-25,45,False
2018-04-01,30,False
2018-04-08,59,False
2018-04-15,64,False
2018-04-22,61,False
2018-04-29,46,False
2018-05-06,32,False
2018-05-13,30,False
2018-05-20,31,False
2018-05-27,44,False
2018-06-03,59,False
2018-06-10,71,False
2018-06-17,30,False
2018-06-24,50,False
2018-07-01,43,False
2018-07-08,51,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,65,False
2018-08-05,65,False
2018-08-12,100,False
2018-08-19,32,False
2018-08-26,31,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,45,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,29,False
2018-11-18,29,False
2018-11-25,29,False
2018-12-02,30,False
2018-12-09,60,False
2018-12-16,30,False
2018-12-23,34,False
2018-12-30,32,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,28,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,30,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,44,False
2019-04-07,30,False
2019-04-14,30,False
2019-04-21,60,False
2019-04-28,59,False
2019-05-05,29,False
2019-05-12,0,False
2019-05-19,58,False
2019-05-26,59,False
2019-06-02,27,False
2019-06-09,57,False
2019-06-16,29,False
2019-06-23,58,False
2019-06-30,67,False
2019-07-07,44,False
2019-07-14,0,False
2019-07-21,71,False
2019-07-28,31,False
2019-08-04,63,False
2019-08-11,0,False
2019-08-18,62,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,28,False
2019-09-15,0,False
2019-09-22,54,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,28,False
2019-10-20,27,False
2019-10-27,27,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,30,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,25,False
2020-01-19,52,False
2020-01-26,0,False
2020-02-02,51,False
2020-02-09,77,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,25,False
2020-03-08,0,False
2020-03-15,23,False
2020-03-22,23,False
2020-03-29,34,False
2020-04-05,38,False
2020-04-12,39,False
2020-04-19,45,False
2020-04-26,0,False
2020-05-03,36,False
2020-05-10,23,False
2020-05-17,43,True
