date,Gerüstbau,isPartial
2018-01-07,53,False
2018-01-14,53,False
2018-01-21,60,False
2018-01-28,45,False
2018-02-04,38,False
2018-02-11,46,False
2018-02-18,35,False
2018-02-25,46,False
2018-03-04,65,False
2018-03-11,76,False
2018-03-18,43,False
2018-03-25,29,False
2018-04-01,59,False
2018-04-08,53,False
2018-04-15,67,False
2018-04-22,61,False
2018-04-29,37,False
2018-05-06,70,False
2018-05-13,63,False
2018-05-20,70,False
2018-05-27,70,False
2018-06-03,65,False
2018-06-10,100,False
2018-06-17,41,False
2018-06-24,38,False
2018-07-01,80,False
2018-07-08,51,False
2018-07-15,72,False
2018-07-22,63,False
2018-07-29,42,False
2018-08-05,77,False
2018-08-12,50,False
2018-08-19,48,False
2018-08-26,31,False
2018-09-02,74,False
2018-09-09,74,False
2018-09-16,83,False
2018-09-23,60,False
2018-09-30,34,False
2018-10-07,69,False
2018-10-14,70,False
2018-10-21,77,False
2018-10-28,42,False
2018-11-04,64,False
2018-11-11,62,False
2018-11-18,19,False
2018-11-25,45,False
2018-12-02,56,False
2018-12-09,41,False
2018-12-16,25,False
2018-12-23,36,False
2018-12-30,45,False
2019-01-06,40,False
2019-01-13,43,False
2019-01-20,45,False
2019-01-27,50,False
2019-02-03,72,False
2019-02-10,54,False
2019-02-17,65,False
2019-02-24,35,False
2019-03-03,72,False
2019-03-10,72,False
2019-03-17,47,False
2019-03-24,62,False
2019-03-31,50,False
2019-04-07,39,False
2019-04-14,37,False
2019-04-21,49,False
2019-04-28,71,False
2019-05-05,93,False
2019-05-12,78,False
2019-05-19,71,False
2019-05-26,40,False
2019-06-02,87,False
2019-06-09,58,False
2019-06-16,56,False
2019-06-23,80,False
2019-06-30,64,False
2019-07-07,64,False
2019-07-14,49,False
2019-07-21,25,False
2019-07-28,34,False
2019-08-04,44,False
2019-08-11,61,False
2019-08-18,88,False
2019-08-25,69,False
2019-09-01,45,False
2019-09-08,27,False
2019-09-15,55,False
2019-09-22,61,False
2019-09-29,32,False
2019-10-06,58,False
2019-10-13,37,False
2019-10-20,61,False
2019-10-27,61,False
2019-11-03,32,False
2019-11-10,71,False
2019-11-17,47,False
2019-11-24,32,False
2019-12-01,76,False
2019-12-08,43,False
2019-12-15,70,False
2019-12-22,13,False
2019-12-29,16,False
2020-01-05,44,False
2020-01-12,27,False
2020-01-19,45,False
2020-01-26,51,False
2020-02-02,51,False
2020-02-09,47,False
2020-02-16,70,False
2020-02-23,65,False
2020-03-01,54,False
2020-03-08,64,False
2020-03-15,42,False
2020-03-22,61,False
2020-03-29,35,False
2020-04-05,50,False
2020-04-12,37,False
2020-04-19,55,False
2020-04-26,45,False
2020-05-03,87,False
2020-05-10,78,False
