date,trucco occhi,isPartial
2018-01-07,28,False
2018-01-14,83,False
2018-01-21,43,False
2018-01-28,36,False
2018-02-04,78,False
2018-02-11,65,False
2018-02-18,45,False
2018-02-25,54,False
2018-03-04,54,False
2018-03-11,74,False
2018-03-18,56,False
2018-03-25,19,False
2018-04-01,20,False
2018-04-08,0,False
2018-04-15,49,False
2018-04-22,59,False
2018-04-29,47,False
2018-05-06,93,False
2018-05-13,57,False
2018-05-20,38,False
2018-05-27,38,False
2018-06-03,47,False
2018-06-10,55,False
2018-06-17,71,False
2018-06-24,42,False
2018-07-01,62,False
2018-07-08,41,False
2018-07-15,21,False
2018-07-22,43,False
2018-07-29,45,False
2018-08-05,49,False
2018-08-12,42,False
2018-08-19,64,False
2018-08-26,33,False
2018-09-02,51,False
2018-09-09,61,False
2018-09-16,50,False
2018-09-23,20,False
2018-09-30,71,False
2018-10-07,51,False
2018-10-14,30,False
2018-10-21,30,False
2018-10-28,29,False
2018-11-04,37,False
2018-11-11,38,False
2018-11-18,46,False
2018-11-25,47,False
2018-12-02,48,False
2018-12-09,0,False
2018-12-16,50,False
2018-12-23,45,False
2018-12-30,73,False
2019-01-06,18,False
2019-01-13,55,False
2019-01-20,61,False
2019-01-27,34,False
2019-02-03,60,False
2019-02-10,69,False
2019-02-17,53,False
2019-02-24,55,False
2019-03-03,56,False
2019-03-10,46,False
2019-03-17,92,False
2019-03-24,36,False
2019-03-31,36,False
2019-04-07,44,False
2019-04-14,55,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,64,False
2019-05-12,72,False
2019-05-19,44,False
2019-05-26,60,False
2019-06-02,44,False
2019-06-09,87,False
2019-06-16,18,False
2019-06-23,0,False
2019-06-30,46,False
2019-07-07,56,False
2019-07-14,66,False
2019-07-21,39,False
2019-07-28,61,False
2019-08-04,0,False
2019-08-11,24,False
2019-08-18,43,False
2019-08-25,47,False
2019-09-01,26,False
2019-09-08,27,False
2019-09-15,51,False
2019-09-22,52,False
2019-09-29,26,False
2019-10-06,35,False
2019-10-13,60,False
2019-10-20,33,False
2019-10-27,100,False
2019-11-03,0,False
2019-11-10,66,False
2019-11-17,32,False
2019-11-24,56,False
2019-12-01,17,False
2019-12-08,51,False
2019-12-15,58,False
2019-12-22,58,False
2019-12-29,65,False
2020-01-05,32,False
2020-01-12,30,False
2020-01-19,47,False
2020-01-26,45,False
2020-02-02,30,False
2020-02-09,39,False
2020-02-16,39,False
2020-02-23,43,False
2020-03-01,14,False
2020-03-08,14,False
2020-03-15,14,False
2020-03-22,13,False
2020-03-29,34,False
2020-04-05,57,False
2020-04-12,43,False
2020-04-19,41,False
2020-04-26,0,True
