date,video auguri compleanno,isPartial
2018-01-07,65,False
2018-01-14,55,False
2018-01-21,15,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,39,False
2018-02-18,30,False
2018-02-25,45,False
2018-03-04,29,False
2018-03-11,59,False
2018-03-18,15,False
2018-03-25,24,False
2018-04-01,49,False
2018-04-08,37,False
2018-04-15,23,False
2018-04-22,0,False
2018-04-29,39,False
2018-05-06,38,False
2018-05-13,59,False
2018-05-20,30,False
2018-05-27,75,False
2018-06-03,31,False
2018-06-10,15,False
2018-06-17,23,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,39,False
2018-07-15,32,False
2018-07-22,40,False
2018-07-29,17,False
2018-08-05,54,False
2018-08-12,21,False
2018-08-19,40,False
2018-08-26,16,False
2018-09-02,37,False
2018-09-09,36,False
2018-09-16,14,False
2018-09-23,29,False
2018-09-30,29,False
2018-10-07,37,False
2018-10-14,30,False
2018-10-21,14,False
2018-10-28,36,False
2018-11-04,21,False
2018-11-11,29,False
2018-11-18,21,False
2018-11-25,44,False
2018-12-02,22,False
2018-12-09,43,False
2018-12-16,15,False
2018-12-23,35,False
2018-12-30,51,False
2019-01-06,37,False
2019-01-13,21,False
2019-01-20,28,False
2019-01-27,14,False
2019-02-03,64,False
2019-02-10,21,False
2019-02-17,0,False
2019-02-24,37,False
2019-03-03,29,False
2019-03-10,44,False
2019-03-17,15,False
2019-03-24,45,False
2019-03-31,30,False
2019-04-07,15,False
2019-04-14,23,False
2019-04-21,50,False
2019-04-28,0,False
2019-05-05,15,False
2019-05-12,29,False
2019-05-19,14,False
2019-05-26,21,False
2019-06-02,15,False
2019-06-09,30,False
2019-06-16,30,False
2019-06-23,15,False
2019-06-30,31,False
2019-07-07,15,False
2019-07-14,31,False
2019-07-21,32,False
2019-07-28,41,False
2019-08-04,36,False
2019-08-11,20,False
2019-08-18,37,False
2019-08-25,25,False
2019-09-01,21,False
2019-09-08,29,False
2019-09-15,0,False
2019-09-22,41,False
2019-09-29,21,False
2019-10-06,21,False
2019-10-13,14,False
2019-10-20,80,False
2019-10-27,14,False
2019-11-03,65,False
2019-11-10,40,False
2019-11-17,26,False
2019-11-24,33,False
2019-12-01,27,False
2019-12-08,21,False
2019-12-15,14,False
2019-12-22,33,False
2019-12-29,40,False
2020-01-05,0,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,13,False
2020-02-02,37,False
2020-02-09,39,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,12,False
2020-03-15,12,False
2020-03-22,29,False
2020-03-29,48,False
2020-04-05,31,False
2020-04-12,100,False
2020-04-19,41,False
2020-04-26,51,True
