date,video auguri compleanno,isPartial
2018-01-07,24,False
2018-01-14,61,False
2018-01-21,24,False
2018-01-28,47,False
2018-02-04,23,False
2018-02-11,34,False
2018-02-18,85,False
2018-02-25,42,False
2018-03-04,21,False
2018-03-11,43,False
2018-03-18,22,False
2018-03-25,23,False
2018-04-01,36,False
2018-04-08,32,False
2018-04-15,66,False
2018-04-22,35,False
2018-04-29,33,False
2018-05-06,21,False
2018-05-13,0,False
2018-05-20,22,False
2018-05-27,100,False
2018-06-03,23,False
2018-06-10,53,False
2018-06-17,31,False
2018-06-24,34,False
2018-07-01,0,False
2018-07-08,45,False
2018-07-15,0,False
2018-07-22,23,False
2018-07-29,35,False
2018-08-05,25,False
2018-08-12,29,False
2018-08-19,45,False
2018-08-26,51,False
2018-09-02,66,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,32,False
2018-09-30,21,False
2018-10-07,54,False
2018-10-14,22,False
2018-10-21,65,False
2018-10-28,21,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,21,False
2018-11-25,43,False
2018-12-02,79,False
2018-12-09,22,False
2018-12-16,23,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,24,False
2019-01-13,35,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,21,False
2019-03-03,0,False
2019-03-10,24,False
2019-03-17,50,False
2019-03-24,24,False
2019-03-31,23,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,93,False
2019-05-05,21,False
2019-05-12,23,False
2019-05-19,46,False
2019-05-26,22,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,51,False
2019-07-21,50,False
2019-07-28,53,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,29,False
2019-08-25,26,False
2019-09-01,22,False
2019-09-08,23,False
2019-09-15,45,False
2019-09-22,45,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,47,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,0,False
2019-11-10,44,False
2019-11-17,44,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,46,False
2019-12-15,35,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,85,False
2020-02-02,42,False
2020-02-09,54,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,31,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,67,False
2020-03-29,39,False
2020-04-05,31,False
2020-04-12,21,False
2020-04-19,77,False
2020-04-26,34,True
