date,Cours de dessin,isPartial
2018-01-07,63,False
2018-01-14,63,False
2018-01-21,78,False
2018-01-28,32,False
2018-02-04,31,False
2018-02-11,47,False
2018-02-18,52,False
2018-02-25,31,False
2018-03-04,32,False
2018-03-11,95,False
2018-03-18,48,False
2018-03-25,32,False
2018-04-01,65,False
2018-04-08,30,False
2018-04-15,66,False
2018-04-22,33,False
2018-04-29,48,False
2018-05-06,31,False
2018-05-13,0,False
2018-05-20,54,False
2018-05-27,47,False
2018-06-03,62,False
2018-06-10,30,False
2018-06-17,32,False
2018-06-24,31,False
2018-07-01,62,False
2018-07-08,47,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,62,False
2018-08-05,30,False
2018-08-12,51,False
2018-08-19,32,False
2018-08-26,63,False
2018-09-02,43,False
2018-09-09,43,False
2018-09-16,54,False
2018-09-23,32,False
2018-09-30,66,False
2018-10-07,0,False
2018-10-14,56,False
2018-10-21,46,False
2018-10-28,32,False
2018-11-04,63,False
2018-11-11,77,False
2018-11-18,32,False
2018-11-25,66,False
2018-12-02,34,False
2018-12-09,50,False
2018-12-16,35,False
2018-12-23,97,False
2018-12-30,36,False
2019-01-06,33,False
2019-01-13,65,False
2019-01-20,32,False
2019-01-27,47,False
2019-02-03,0,False
2019-02-10,51,False
2019-02-17,34,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,33,False
2019-03-17,33,False
2019-03-24,33,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,33,False
2019-04-21,46,False
2019-04-28,32,False
2019-05-05,31,False
2019-05-12,0,False
2019-05-19,61,False
2019-05-26,31,False
2019-06-02,29,False
2019-06-09,58,False
2019-06-16,30,False
2019-06-23,50,False
2019-06-30,30,False
2019-07-07,44,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,46,False
2019-08-04,76,False
2019-08-11,70,False
2019-08-18,60,False
2019-08-25,100,False
2019-09-01,58,False
2019-09-08,0,False
2019-09-15,44,False
2019-09-22,44,False
2019-09-29,69,False
2019-10-06,59,False
2019-10-13,44,False
2019-10-20,58,False
2019-10-27,29,False
2019-11-03,58,False
2019-11-10,0,False
2019-11-17,70,False
2019-11-24,47,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,70,False
2019-12-22,0,False
2019-12-29,30,False
2020-01-05,41,False
2020-01-12,62,False
2020-01-19,54,False
2020-01-26,64,False
2020-02-02,41,False
2020-02-09,27,False
2020-02-16,55,False
2020-02-23,52,False
2020-03-01,77,False
2020-03-08,26,False
2020-03-15,31,False
2020-03-22,45,False
2020-03-29,38,False
2020-04-05,46,False
2020-04-12,35,False
2020-04-19,53,False
2020-04-26,29,False
2020-05-03,22,False
2020-05-10,22,False
2020-05-17,28,True
